城市,AQI,PM2.5,PM10,O3,NO2,SO2,CO,空气质量等级,空气质量描述,爬取时间
北京,145,89,127,177,21,22,0.6,轻度污染,轻度污染,2026-01-02 15:55:14
上海,73,34,78,100,59,16,1.7,良,空气质量良好,2026-01-02 15:55:14
广州,139,90,135,149,48,19,1.2,轻度污染,轻度污染,2026-01-02 15:55:14
深圳,139,74,112,164,25,6,1.7,轻度污染,轻度污染,2026-01-02 15:55:14
成都,108,68,106,134,37,18,1.1,轻度污染,轻度污染,2026-01-02 15:55:14
杭州,87,48,72,87,24,15,2.1,良,空气质量良好,2026-01-02 15:55:14
武汉,87,48,76,118,57,7,2.0,良,空气质量良好,2026-01-02 15:55:14
西安,124,80,109,167,37,22,0.8,轻度污染,轻度污染,2026-01-02 15:55:14
重庆,117,72,110,139,20,16,0.6,轻度污染,轻度污染,2026-01-02 15:55:14
南京,72,50,51,103,73,19,2.0,良,空气质量良好,2026-01-02 15:55:14
天津,88,42,87,100,48,24,2.4,良,空气质量良好,2026-01-02 15:55:14
苏州,54,39,46,83,41,14,1.9,良,空气质量良好,2026-01-02 15:55:14
郑州,144,79,140,191,35,29,1.5,轻度污染,轻度污染,2026-01-02 15:55:14
长沙,87,43,84,115,50,24,1.1,良,空气质量良好,2026-01-02 15:55:14
沈阳,64,36,63,65,50,14,0.6,良,空气质量良好,2026-01-02 15:55:14
青岛,125,73,104,161,53,5,2.5,轻度污染,轻度污染,2026-01-02 15:55:14
济南,101,67,88,113,21,14,2.1,轻度污染,轻度污染,2026-01-02 15:55:14
哈尔滨,138,80,135,159,75,24,1.0,轻度污染,轻度污染,2026-01-02 15:55:14
长春,55,27,40,73,40,28,2.2,良,空气质量良好,2026-01-02 15:55:14
大连,69,43,69,68,45,22,1.0,良,空气质量良好,2026-01-02 15:55:14
北京,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:02
上海,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:05
广州,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:09
深圳,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:12
成都,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:16
杭州,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:19
武汉,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:23
西安,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:26
重庆,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:29
南京,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:32
天津,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:35
苏州,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:38
郑州,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:41
长沙,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:44
沈阳,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:47
青岛,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:51
济南,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:55
哈尔滨,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:23:59
长春,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:24:03
大连,59,59,26,28.1,6.4,3.1,4.6,良,空气质量良好,2026-01-02 16:24:06
北京,104,104,56,19.1,11.0,3.1,6.4,轻度污染,轻度污染,2026-01-02 16:37:08
天津,119,119,56,27.0,12.8,5.1,6.4,轻度污染,轻度污染,2026-01-02 16:37:12
石家庄,169,169,91,20.8,14.7,7.6,16.3,中度污染,中度污染,2026-01-02 16:37:15
太原,212,212,128,0.9,22.9,7.6,12.7,重度污染,重度污染,2026-01-02 16:37:18
呼和浩特,127,127,53,0.0,12.8,6.1,6.4,轻度污染,轻度污染,2026-01-02 16:37:21
唐山,70,70,37,7.0,17.0,1.1,6.4,良,空气质量良好,2026-01-02 16:37:25
秦皇岛,80,80,46,24.8,10.6,8.7,6.4,良,空气质量良好,2026-01-02 16:37:28
邯郸,157,157,59,27.7,9.6,4.1,5.5,中度污染,中度污染,2026-01-02 16:37:31
邢台,156,156,71,27.3,11.9,5.1,9.1,中度污染,中度污染,2026-01-02 16:37:35
保定,166,166,94,23.6,18.3,11.7,14.5,中度污染,中度污染,2026-01-02 16:37:38
张家口,55,55,26,30.5,6.9,2.6,2.8,良,空气质量良好,2026-01-02 16:37:41
承德,74,74,45,20.8,11.9,22.3,9.1,良,空气质量良好,2026-01-02 16:37:44
沧州,114,114,48,24.0,11.0,5.1,4.6,轻度污染,轻度污染,2026-01-02 16:37:47
廊坊,147,147,63,17.5,15.6,3.1,6.4,轻度污染,轻度污染,2026-01-02 16:37:50
衡水,129,129,58,21.6,11.9,4.6,5.5,轻度污染,轻度污染,2026-01-02 16:37:54
大同,162,162,92,5.3,26.1,19.8,10.9,中度污染,中度污染,2026-01-02 16:37:57
