Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): AGRICULTURAL SCIENCES   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","15661","332254","21.22","251"
"2","CHINESE ACADEMY OF AGRICULTURAL SCIENCES","CHINA MAINLAND","12222","223855","18.32","198"
"3","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)","USA","12564","220644","17.56","105"
"4","CHINA AGRICULTURAL UNIVERSITY","CHINA MAINLAND","10052","207779","20.67","166"
"5","INRAE","FRANCE","9314","187838","20.17","118"
"6","JIANGNAN UNIVERSITY","CHINA MAINLAND","8027","181325","22.59","166"
"7","NORTHWEST A&F UNIVERSITY - CHINA","CHINA MAINLAND","9024","180634","20.02","162"
"8","WAGENINGEN UNIVERSITY & RESEARCH","NETHERLANDS","6819","172734","25.33","152"
"9","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","7656","167593","21.89","94"
"10","NANJING AGRICULTURAL UNIVERSITY","CHINA MAINLAND","6480","137921","21.28","99"
"11","UNIVERSITY OF CALIFORNIA SYSTEM","USA","6175","129479","20.97","110"
"12","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","5950","127682","21.46","95"
"13","ZHEJIANG UNIVERSITY","CHINA MAINLAND","5313","125715","23.66","148"
"14","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","7861","117405","14.94","103"
"15","INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR)","INDIA","12753","111262","8.72","66"
"16","SOUTH CHINA UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","3524","108282","30.73","117"
"17","CGIAR","FRANCE","5262","107193","20.37","69"
"18","HUAZHONG AGRICULTURAL UNIVERSITY","CHINA MAINLAND","4855","97482","20.08","68"
"19","UNIVERSIDADE DE SAO PAULO","BRAZIL","6169","95242","15.44","35"
"20","JIANGSU UNIVERSITY","CHINA MAINLAND","4084","89040","21.80","176"
