Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): BIOLOGY & BIOCHEMISTRY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF CALIFORNIA SYSTEM","USA","24354","1001638","41.13","744"
"2","HARVARD UNIVERSITY","USA","15096","801607","53.10","736"
"3","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","22015","548769","24.93","378"
"4","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","20187","517847","25.65","242"
"5","HARVARD MEDICAL SCHOOL","USA","9596","459430","47.88","442"
"6","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","9826","452519","46.05","425"
"7","US DEPT HLTH HUMAN SERVICES","N/A","10664","429089","40.24","295"
"8","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","9725","404202","41.56","286"
"9","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","9514","375064","39.42","247"
"10","UNIVERSITY OF TEXAS SYSTEM","USA","10537","374841","35.57","239"
"11","HOWARD HUGHES MEDICAL INSTITUTE","USA","5401","365028","67.59","373"
"12","UNIVERSITY OF LONDON","ENGLAND","10654","357932","33.60","235"
"13","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","13068","354595","27.13","211"
"14","STANFORD UNIVERSITY","USA","6048","347227","57.41","308"
"15","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","8006","341401","42.64","228"
"16","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","5220","340100","65.15","395"
"17","EUROPEAN MOLECULAR BIOLOGY LABORATORY (EMBL)","GERMANY (FED REP GER)","2590","329538","127.23","259"
"18","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","5993","272302","45.44","206"
"19","UNIVERSITY OF CAMBRIDGE","ENGLAND","5793","269214","46.47","208"
"20","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","5629","257682","45.78","209"
"21","UNIVERSITY SYSTEM OF OHIO","USA","8741","249552","28.55","138"
"22","UNIVERSITY OF COPENHAGEN","DENMARK","5970","241136","40.39","144"
"23","JOHNS HOPKINS UNIVERSITY","USA","5589","240634","43.05","148"
"24","UNIVERSITY OF OXFORD","ENGLAND","6661","238365","35.79","157"
"25","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","7368","232478","31.55","132"
"26","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","4342","226927","52.26","185"
"27","UNIVERSITY OF TORONTO","CANADA","5864","222776","37.99","149"
"28","UNIVERSITY OF WASHINGTON","USA","4780","212783","44.52","154"
"29","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","5469","212299","38.82","166"
"30","UNIVERSITY OF WASHINGTON SEATTLE","USA","4670","208911","44.73","152"
"31","UNIVERSITY OF CALIFORNIA BERKELEY","USA","3833","207322","54.09","177"
"32","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","10916","204566","18.74","119"
"33","UNIVERSITY COLLEGE LONDON","ENGLAND","5636","204212","36.23","137"
"34","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","8703","203162","23.34","169"
"35","BROAD INSTITUTE","USA","2080","193078","92.83","249"
"36","CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB)","FRANCE","6139","192592","31.37","74"
"37","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","7299","191941","26.30","115"
"38","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","6979","189536","27.16","81"
"39","UNIVERSITY OF MICHIGAN SYSTEM","USA","5243","186513","35.57","137"
"40","UNIVERSITY OF MICHIGAN","USA","5228","186285","35.63","137"
"41","CORNELL UNIVERSITY","USA","4727","184987","39.13","125"
"42","EUROPEAN BIOINFORMATICS INSTITUTE","ENGLAND","1059","182803","172.62","176"
"43","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","8911","181585","20.38","126"
"44","UNIVERSITY OF PENNSYLVANIA","USA","4898","176431","36.02","148"
"45","UNIVERSITE PARIS CITE","FRANCE","6255","175690","28.09","101"
"46","MASSACHUSETTS GENERAL HOSPITAL","USA","3425","172494","50.36","166"
"47","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","4041","169197","41.87","114"
"48","IMPERIAL COLLEGE LONDON","ENGLAND","4546","164604","36.21","101"
"49","UNIVERSITY OF ZURICH","SWITZERLAND","3448","159660","46.31","77"
"50","UNIVERSITY OF MELBOURNE","AUSTRALIA","3896","156450","40.16","77"
"51","KAROLINSKA INSTITUTET","SWEDEN","4232","156181","36.90","107"
"52","ZHEJIANG UNIVERSITY","CHINA MAINLAND","7545","155788","20.65","93"
"53","UNIVERSITE PARIS SACLAY","FRANCE","5015","155629","31.03","69"
"54","INRAE","FRANCE","4876","152048","31.18","73"
"55","UNIVERSITY OF ILLINOIS SYSTEM","USA","4564","150893","33.06","102"
"56","YALE UNIVERSITY","USA","4299","149419","34.76","134"
"57","BRIGHAM & WOMEN'S HOSPITAL","USA","2977","148732","49.96","131"
"58","RUPRECHT KARLS UNIVERSITY HEIDELBERG","GERMANY (FED REP GER)","3468","147825","42.63","78"
"59","SORBONNE UNIVERSITE","FRANCE","4860","147350","30.32","77"
"60","ETH ZURICH","SWITZERLAND","3413","143631","42.08","117"
"61","UNIVERSITY SYSTEM OF GEORGIA","USA","5087","142643","28.04","94"
"62","PEKING UNIVERSITY","CHINA MAINLAND","5602","142206","25.38","124"
"63","WELLCOME TRUST SANGER INSTITUTE","ENGLAND","1066","141182","132.44","129"
"64","WASHINGTON UNIVERSITY (WUSTL)","USA","3607","140570","38.97","115"
"65","UNIVERSITY OF NORTH CAROLINA","USA","4199","139387","33.20","98"
"66","UNIVERSITY OF QUEENSLAND","AUSTRALIA","3872","137522","35.52","84"
"67","SWISS INSTITUTE OF BIOINFORMATICS","SWITZERLAND","1137","137235","120.70","85"
"68","COLUMBIA UNIVERSITY","USA","3772","136200","36.11","117"
"69","DUKE UNIVERSITY","USA","3398","134211","39.50","87"
"70","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","3689","131056","35.53","93"
"71","UNIVERSITY OF BRITISH COLUMBIA","CANADA","4038","130868","32.41","70"
"72","UNIVERSITY OF PITTSBURGH","USA","3765","130369","34.63","72"
"73","UNIVERSITY OF CALIFORNIA DAVIS","USA","3738","129637","34.68","69"
"74","UNIVERSIDADE DE SAO PAULO","BRAZIL","6629","128755","19.42","52"
"75","UNIVERSITY OF TOKYO","JAPAN","5647","127553","22.59","61"
"76","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","5353","125692","23.48","51"
"77","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","11211","124180","11.08","38"
"78","TECHNICAL UNIVERSITY OF DENMARK","DENMARK","2652","124113","46.80","82"
