Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): CHEMISTRY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","112235","3292410","29.33","3017"
"2","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","57681","1209327","20.97","495"
"3","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","29452","1101894","37.41","944"
"4","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","38836","1044311","26.89","851"
"5","UNIVERSITY OF CALIFORNIA SYSTEM","USA","25062","899431","35.89","720"
"6","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","CHINA MAINLAND","17888","582348","32.56","789"
"7","TSINGHUA UNIVERSITY","CHINA MAINLAND","16857","575606","34.15","697"
"8","CNRS - INSTITUTE OF CHEMISTRY (INC)","FRANCE","23713","550740","23.23","209"
"9","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","30269","546269","18.05","149"
"10","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","30144","527247","17.49","212"
"11","ZHEJIANG UNIVERSITY","CHINA MAINLAND","17893","463362","25.90","393"
"12","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","52698","461139","8.75","84"
"13","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","13914","453508","32.59","349"
"14","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","13236","438002","33.09","334"
"15","TIANJIN UNIVERSITY","CHINA MAINLAND","15433","433609","28.10","419"
"16","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","18827","404536","21.49","239"
"17","NANKAI UNIVERSITY","CHINA MAINLAND","12149","382935","31.52","415"
"18","JILIN UNIVERSITY","CHINA MAINLAND","16001","373622","23.35","287"
"19","SOUTH CHINA UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","12155","361372","29.73","266"
"20","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","15966","354068","22.18","159"
"21","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","7605","353058","46.42","419"
"22","SICHUAN UNIVERSITY","CHINA MAINLAND","17093","353010","20.65","232"
"23","NANJING UNIVERSITY","CHINA MAINLAND","12062","352286","29.21","299"
"24","PEKING UNIVERSITY","CHINA MAINLAND","11401","351469","30.83","374"
"25","COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA","INDIA","17125","345197","20.16","105"
"26","UNIVERSITY SYSTEM OF OHIO","USA","11154","322241","28.89","235"
"27","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","15105","318677","21.10","115"
"28","ZHENGZHOU UNIVERSITY","CHINA MAINLAND","11783","315406","26.77","346"
"29","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","7384","314809","42.63","323"
"30","UNIVERSITY OF TEXAS SYSTEM","USA","9827","304569","30.99","247"
"31","INSTITUTE OF CHEMISTRY, CAS","CHINA MAINLAND","8218","303879","36.98","304"
"32","STANFORD UNIVERSITY","USA","5325","303539","57.00","301"
