Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): CLINICAL MEDICINE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","HARVARD UNIVERSITY","USA","117981","4460019","37.80","5378"
"2","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","104385","3939918","37.74","4735"
"3","UNIVERSITY OF CALIFORNIA SYSTEM","USA","102781","3369966","32.79","3830"
"4","UNIVERSITY OF LONDON","ENGLAND","80076","2936703","36.67","3436"
"5","HARVARD MEDICAL SCHOOL","USA","72328","2584366","35.73","3065"
"6","UNIVERSITY OF TEXAS SYSTEM","USA","70870","2376491","33.53","2807"
"7","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","65726","2083111","31.69","2261"
"8","UNIVERSITY OF TORONTO","CANADA","59055","2048508","34.69","2213"
"9","JOHNS HOPKINS UNIVERSITY","USA","50268","1876758","37.34","1962"
"10","US DEPT HLTH HUMAN SERVICES","N/A","39634","1801628","45.46","2180"
"11","MAYO CLINIC","USA","50540","1672840","33.10","2000"
"12","ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP)","FRANCE","49664","1657138","33.37","2038"
"13","UNIVERSITY COLLEGE LONDON","ENGLAND","41198","1579684","38.34","1812"
"14","UNIVERSITY SYSTEM OF OHIO","USA","60091","1578174","26.26","1670"
"15","BRIGHAM & WOMEN'S HOSPITAL","USA","36533","1546778","42.34","1870"
"16","UNIVERSITY OF PENNSYLVANIA","USA","43622","1414838","32.43","1671"
"17","MASSACHUSETTS GENERAL HOSPITAL","USA","37014","1412266","38.15","1791"
"18","UNIVERSITE PARIS CITE","FRANCE","41022","1390501","33.90","1627"
"19","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","46538","1387060","29.80","1416"
"20","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","37774","1376579","36.44","1648"
"21","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","29024","1375118","47.38","1556"
"22","UNIVERSITY OF WASHINGTON","USA","34963","1326569","37.94","1589"
"23","UNIVERSITY OF WASHINGTON SEATTLE","USA","34537","1315597","38.09","1566"
"24","STANFORD UNIVERSITY","USA","35987","1294151","35.96","1521"
"25","UNIVERSITY OF MICHIGAN SYSTEM","USA","36585","1206913","32.99","1398"
"26","UNIVERSITY OF MICHIGAN","USA","36532","1206527","33.03","1398"
"27","IMPERIAL COLLEGE LONDON","ENGLAND","28647","1203489","42.01","1569"
"28","UNIVERSITY OF OXFORD","ENGLAND","25450","1201635","47.22","1414"
"29","UTMD ANDERSON CANCER CENTER","USA","26571","1153305","43.40","1561"
"30","DUKE UNIVERSITY","USA","32919","1122356","34.09","1360"
"31","UNIVERSITY OF SYDNEY","AUSTRALIA","32324","1102114","34.10","1074"
