Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","17814","288264","16.18","288"
"2","TSINGHUA UNIVERSITY","CHINA MAINLAND","8320","153722","18.48","191"
"3","UNIVERSITY OF CALIFORNIA SYSTEM","USA","7842","148989","19.00","100"
"4","UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA","CHINA MAINLAND","7101","136731","19.26","190"
"5","SOUTHEAST UNIVERSITY - CHINA","CHINA MAINLAND","6828","136118","19.94","154"
"6","XIDIAN UNIVERSITY","CHINA MAINLAND","7826","132359","16.91","147"
"7","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","5317","130508","24.55","196"
"8","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","10119","117207","11.58","74"
"9","UNIVERSITY OF LONDON","ENGLAND","5372","114110","21.24","150"
"10","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","3335","113983","34.18","39"
"11","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","8650","107029","12.37","51"
"12","ALPHABET INC.","USA","1472","105705","71.81","46"
"13","ZHEJIANG UNIVERSITY","CHINA MAINLAND","7122","104389","14.66","104"
"14","BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","6740","103471","15.35","118"
"15","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","5296","103216","19.49","79"
"16","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","6453","99961","15.49","112"
"17","UNIVERSITY OF TEXAS SYSTEM","USA","4895","98451","20.11","98"
"18","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","3430","98205","28.63","122"
"19","NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM)","INDIA","7886","97352","12.34","49"
"20","GOOGLE INCORPORATED","USA","1358","95999","70.69","34"
"21","ETH ZURICH","SWITZERLAND","1993","92994","46.66","25"
"22","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","5599","90004","16.08","107"
"23","WUHAN UNIVERSITY","CHINA MAINLAND","4641","88348","19.04","94"
"24","BEIHANG UNIVERSITY","CHINA MAINLAND","5335","83771","15.70","88"
"25","UNIVERSITY OF TECHNOLOGY SYDNEY","AUSTRALIA","3199","83000","25.95","87"
"26","CITY UNIVERSITY OF HONG KONG","HONG KONG","3781","81487","21.55","84"
"27","UNIVERSITY OF WISCONSIN SYSTEM","USA","1228","81125","66.06","15"
"28","UNIVERSITY SYSTEM OF GEORGIA","USA","3614","79890","22.11","63"
"29","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","5270","79115","15.01","60"
"30","DALIAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","4065","78160","19.23","89"
"31","UNIVERSITY OF WISCONSIN MADISON","USA","983","77441","78.78","13"
"32","CENTRAL SOUTH UNIVERSITY","CHINA MAINLAND","3841","76501","19.92","73"
"33","KING ABDULAZIZ UNIVERSITY","SAUDI ARABIA","2705","75782","28.02","76"
"34","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","4024","75460","18.75","61"
"35","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","5785","74207","12.83","70"
"36","UNIVERSITY OF NEW SOUTH WALES SYDNEY","AUSTRALIA","3046","73669","24.19","94"
"37","SOUTH CHINA UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","3789","73185","19.32","81"
"38","ISLAMIC AZAD UNIVERSITY","IRAN","4144","71994","17.37","52"
"39","SHENZHEN UNIVERSITY","CHINA MAINLAND","3723","71901","19.31","85"
"40","BEIJING INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","4485","70608","15.74","80"
"41","HONG KONG POLYTECHNIC UNIVERSITY","HONG KONG","3629","69255","19.08","86"
"42","NORTHWESTERN POLYTECHNICAL UNIVERSITY","CHINA MAINLAND","4260","69236","16.25","87"
"43","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","4201","68433","16.29","69"
"44","MCMASTER UNIVERSITY","CANADA","623","68239","109.53","11"
"45","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","CHINA MAINLAND","4333","66935","15.45","63"
"46","NORTHEASTERN UNIVERSITY - CHINA","CHINA MAINLAND","3844","64476","16.77","67"
"47","TIANJIN UNIVERSITY","CHINA MAINLAND","3807","63475","16.67","51"
"48","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","3060","63181","20.65","28"
"49","SICHUAN UNIVERSITY","CHINA MAINLAND","3364","61791","18.37","70"
"50","XI'AN JIAOTONG UNIVERSITY","CHINA MAINLAND","3975","61718","15.53","53"
"51","UNIV BRETAGNE LOIRE","N/A","4876","61708","12.66","41"
"52","NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY","CHINA MAINLAND","2860","60941","21.31","64"
"53","HUNAN UNIVERSITY","CHINA MAINLAND","3090","59845","19.37","74"
"54","UNIVERSITY OF BRITISH COLUMBIA","CANADA","1911","59689","31.23","61"
"55","IMPERIAL COLLEGE LONDON","ENGLAND","2386","58406","24.48","68"
"56","TONGJI UNIVERSITY","CHINA MAINLAND","3403","57340","16.85","54"
"57","PEKING UNIVERSITY","CHINA MAINLAND","3537","56529","15.98","64"
"58","UNIVERSITY OF SYDNEY","AUSTRALIA","2378","55718","23.43","59"
"59","NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","3656","54418","14.88","60"
"60","NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA","CHINA MAINLAND","4272","54388","12.73","56"
"61","UNIVERSITE PARIS SACLAY","FRANCE","2735","53568","19.59","66"
"62","HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY","HONG KONG","2459","52974","21.54","62"
"63","HUAWEI TECHNOLOGIES","CHINA MAINLAND","2380","52438","22.03","54"
"64","NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","2879","51679","17.95","61"
"65","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","2731","51673","18.92","33"
"66","UNIVERSITY OF MACAU","MACAU","1931","51412","26.62","68"
"67","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","2495","51203","20.52","42"
"68","BEIJING JIAOTONG UNIVERSITY","CHINA MAINLAND","3457","51059","14.77","52"
"69","NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS","CHINA MAINLAND","3446","50076","14.53","46"
"70","KING SAUD UNIVERSITY","SAUDI ARABIA","2826","49917","17.66","58"
"71","UNIVERSITY OF CALIFORNIA BERKELEY","USA","1491","49172","32.98","26"
"72","UNIVERSITY COLLEGE LONDON","ENGLAND","2294","49003","21.36","58"
"73","INSTITUTE OF AUTOMATION, CAS","CHINA MAINLAND","2218","48666","21.94","48"
"74","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","2815","48602","17.27","38"
"75","PRINCETON UNIVERSITY","USA","1440","47528","33.01","73"
"76","CHONGQING UNIVERSITY","CHINA MAINLAND","2969","47410","15.97","55"
"77","STANFORD UNIVERSITY","USA","2156","46892","21.75","59"
"78","MONASH UNIVERSITY","AUSTRALIA","2051","46006","22.43","37"
"79","OPENAI","USA","10","45793","4579.30","2"
"80","UNIVERSITY OF WATERLOO","CANADA","2260","45018","19.92","60"
"81","GUANGDONG UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","2157","44864","20.80","74"
"82","UNIVERSITY OF TORONTO","CANADA","1744","44421","25.47","33"
"83","UNIVERSITY SYSTEM OF OHIO","USA","2679","43820","16.36","35"
"84","UNIVERSITY OF OXFORD","ENGLAND","1889","43704","23.14","36"
"85","UNIVERSITY OF GRANADA","SPAIN","1415","43695","30.88","61"
"86","NANJING UNIVERSITY","CHINA MAINLAND","2964","43623","14.72","38"
"87","CHINESE UNIVERSITY OF HONG KONG","HONG KONG","2087","43426","20.81","45"
"88","GRIFFITH UNIVERSITY","AUSTRALIA","664","43381","65.33","32"
"89","UNIVERSITY OF CAMBRIDGE","ENGLAND","1602","43165","26.94","44"
"90","SHANDONG UNIVERSITY","CHINA MAINLAND","3388","43050","12.71","39"
"91","GEORGIA INSTITUTE OF TECHNOLOGY","USA","2062","42231","20.48","41"
"92","VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY","USA","1660","42129","25.38","43"
"93","DEAKIN UNIVERSITY","AUSTRALIA","1868","42090","22.53","47"
"94","CARNEGIE MELLON UNIVERSITY","USA","2167","41743","19.26","32"
"95","UNIVERSITY OF ILLINOIS SYSTEM","USA","2402","41396","17.23","45"
"96","HEFEI UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","2297","40439","17.61","46"
"97","SOUTHWEST JIAOTONG UNIVERSITY","CHINA MAINLAND","2166","39869","18.41","41"
"98","PENG CHENG LABORATORY","CHINA MAINLAND","2417","38595","15.97","67"
"99","CHINA UNIVERSITY OF GEOSCIENCES","CHINA MAINLAND","1868","38579","20.65","35"
"100","QUEEN MARY UNIVERSITY LONDON","ENGLAND","1325","38565","29.11","71"
"101","XIAMEN UNIVERSITY","CHINA MAINLAND","2086","38263","18.34","34"
"102","SINGAPORE UNIVERSITY OF TECHNOLOGY & DESIGN","SINGAPORE","1394","37797","27.11","57"
"103","THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY","INDIA","1660","37742","22.74","31"
"104","UNIVERSITY OF HONG KONG","HONG KONG","1836","37185","20.25","45"
"105","UNIVERSITY OF MANCHESTER","ENGLAND","1469","37084","25.24","35"
"106","AALTO UNIVERSITY","FINLAND","1557","37057","23.80","36"
"107","UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING","CHINA MAINLAND","1963","36733","18.71","34"
"108","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","2255","36070","16.00","29"
"109","UNIVERSITY OF SURREY","ENGLAND","1240","35970","29.01","54"
"110","CHONGQING UNIVERSITY OF POSTS & TELECOMMUNICATIONS","CHINA MAINLAND","2481","35926","14.48","46"
"111","SHANGHAI UNIVERSITY","CHINA MAINLAND","2403","35912","14.94","29"
"112","COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO)","AUSTRALIA","1713","35829","20.92","38"
"113","VELLORE INSTITUTE OF TECHNOLOGY (VIT)","INDIA","2528","35712","14.13","27"
"114","MICROSOFT","USA","1879","35454","18.87","37"
"115","TECHNICAL UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","2214","34522","15.59","30"
"116","UNIVERSITE DE MONTREAL","CANADA","1520","34477","22.68","28"
"117","SWINBURNE UNIVERSITY OF TECHNOLOGY","AUSTRALIA","1159","34462","29.73","58"
"118","UNIVERSITI MALAYA","MALAYSIA","1302","34434","26.45","29"
"119","COMSATS UNIVERSITY ISLAMABAD (CUI)","PAKISTAN","2114","34307","16.23","17"
"120","MINIST EDUC","N/A","2569","34204","13.31","26"
"121","UNIVERSITY OF SOUTHAMPTON","ENGLAND","1258","34112","27.12","47"
"122","QATAR FOUNDATION (QF)","QATAR","1194","33930","28.42","33"
"123","UNIVERSITY OF ALBERTA","CANADA","1706","33883","19.86","31"
"124","INRIA","FRANCE","2836","33670","11.87","26"
"125","PURDUE UNIVERSITY SYSTEM","USA","2152","33411","15.53","21"
"126","UNIVERSITY OF MELBOURNE","AUSTRALIA","1715","33297","19.42","26"
"127","UNIVERSITY OF OULU","FINLAND","1247","33007","26.47","45"
"128","COLUMBIA UNIVERSITY","USA","1432","32906","22.98","30"
"129","UNIVERSITY OF TEHRAN","IRAN","1414","32798","23.20","34"
"130","GUANGZHOU UNIVERSITY","CHINA MAINLAND","2015","32797","16.28","31"
"131","CHINA UNIVERSITY OF MINING & TECHNOLOGY","CHINA MAINLAND","1954","32220","16.49","27"
"132","PURDUE UNIVERSITY","USA","2062","32069","15.55","21"
"133","INSTITUT POLYTECHNIQUE DE PARIS","FRANCE","2305","31993","13.88","15"
"134","KYUNG HEE UNIVERSITY","SOUTH KOREA","1433","31891","22.25","53"
"135","TECHNICAL UNIVERSITY OF DENMARK","DENMARK","859","31622","36.81","20"
"136","HOHAI UNIVERSITY","CHINA MAINLAND","1719","31483","18.31","25"
"137","SEJONG UNIVERSITY","SOUTH KOREA","1359","31444","23.14","37"
"138","FUDAN UNIVERSITY","CHINA MAINLAND","2552","31409","12.31","35"
"139","BEIJING UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","2416","31367","12.98","32"
"140","HARVARD UNIVERSITY","USA","1772","31195","17.60","32"
"141","UNIVERSITY OF TEXAS AUSTIN","USA","1456","31100","21.36","28"
"142","DALIAN MARITIME UNIVERSITY","CHINA MAINLAND","1322","30964","23.42","49"
"143","IMT - INSTITUT MINES-TELECOM","FRANCE","2308","30801","13.35","14"
"144","UNIVERSITY SYSTEM OF MARYLAND","USA","1844","30563","16.57","31"
"145","ANHUI UNIVERSITY","CHINA MAINLAND","1806","30446","16.86","34"
"146","UNIVERSITY OF CALIFORNIA IRVINE","USA","1153","30327","26.30","18"
"147","VIT VELLORE","INDIA","1878","30280","16.12","25"
"148","UNIVERSITY OF SOUTHERN CALIFORNIA","USA","1478","30239","20.46","26"
"149","UNIVERSITY OF BIRMINGHAM","ENGLAND","805","30161","37.47","23"
"150","KOREA UNIVERSITY","SOUTH KOREA","2143","30049","14.02","27"
"151","HANGZHOU DIANZI UNIVERSITY","CHINA MAINLAND","2260","29824","13.20","28"
"152","QATAR UNIVERSITY","QATAR","1149","29787","25.92","37"
"153","UNIVERSITY OF HOUSTON","USA","1297","29562","22.79","40"
"153","UNIVERSITY OF HOUSTON SYSTEM","USA","1297","29562","22.79","40"
"155","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","1416","29451","20.80","28"
"156","KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY","SAUDI ARABIA","1408","29330","20.83","19"
"157","SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","1547","29252","18.91","52"
"158","MICHIGAN STATE UNIVERSITY","USA","1023","29203","28.55","37"
"159","TEMPLE UNIVERSITY","USA","770","29102","37.79","13"
"160","YONSEI UNIVERSITY","SOUTH KOREA","1792","28745","16.04","45"
"161","UNIVERSITY OF ADELAIDE","AUSTRALIA","906","28723","31.70","34"
"162","NEW YORK UNIVERSITY","USA","1408","28506","20.25","27"
"163","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","1791","28329","15.82","26"
"164","UNIVERSITY OF NORTH CAROLINA","USA","1583","28318","17.89","22"
"165","UNIVERSITY OF QUEBEC","CANADA","1676","28108","16.77","20"
"166","SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS","CHINA MAINLAND","1399","27702","19.80","29"
"167","UNIVERSITY OF TEXAS AT SAN ANTONIO (UTSA)","USA","1121","27647","24.66","29"
"168","CARLETON UNIVERSITY","CANADA","1227","27548","22.45","38"
"169","AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR)","SINGAPORE","1223","27483","22.47","27"
"170","DELFT UNIVERSITY OF TECHNOLOGY","NETHERLANDS","1827","27322","14.95","12"
"171","LANCASTER UNIVERSITY","ENGLAND","911","26739","29.35","24"
"172","UNIVERSITY OF FLORIDA","USA","1481","26628","17.98","19"
"173","QINGDAO UNIVERSITY","CHINA MAINLAND","1035","26622","25.72","36"
"174","SOUTHWEST UNIVERSITY - CHINA","CHINA MAINLAND","1368","26618","19.46","37"
"175","FUZHOU UNIVERSITY","CHINA MAINLAND","1779","26461","14.87","20"
"176","KU LEUVEN","BELGIUM","1540","26293","17.07","23"
"177","LINKOPING UNIVERSITY","SWEDEN","806","25972","32.22","40"
"178","TEXAS A&M UNIVERSITY SYSTEM","USA","1623","25805","15.90","16"
"179","UNIVERSITY OF MISSOURI SYSTEM","USA","1123","25697","22.88","22"
"180","POLYTECHNIC UNIVERSITY OF MILAN","ITALY","1702","25617","15.05","20"
"181","BRUNEL UNIVERSITY","ENGLAND","869","25503","29.35","27"
"182","ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT)","AUSTRALIA","1358","25464","18.75","25"
"183","CONCORDIA UNIVERSITY - CANADA","CANADA","1344","25073","18.66","15"
"184","ROYAL INSTITUTE OF TECHNOLOGY","SWEDEN","1501","24965","16.63","17"
"185","KING'S COLLEGE LONDON","ENGLAND","1227","24938","20.32","25"
"186","UNIVERSITY OF WASHINGTON","USA","1252","24616","19.66","25"
"187","UNIVERSITY OF EDINBURGH","SCOTLAND","1452","24433","16.83","21"
"188","SUNGKYUNKWAN UNIVERSITY (SKKU)","SOUTH KOREA","1357","24265","17.88","22"
"189","WENZHOU UNIVERSITY","CHINA MAINLAND","584","24223","41.48","47"
"190","UNIVERSITAT POLITECNICA DE CATALUNYA","SPAIN","1979","24167","12.21","9"
"191","INSTITUTE OF INFORMATION ENGINEERING, CAS","CHINA MAINLAND","1422","23745","16.70","14"
"191","UNIVERSITY OF MICHIGAN SYSTEM","USA","1691","23745","14.04","18"
"193","ARIZONA STATE UNIVERSITY","USA","1251","23717","18.96","16"
"194","UNIVERSITY OF PADUA","ITALY","1192","23687","19.87","21"
"195","UNIVERSITY OF ERLANGEN NUREMBERG","GERMANY (FED REP GER)","1015","23576","23.23","37"
"196","UNIVERSITY OF WASHINGTON SEATTLE","USA","1127","23376","20.74","24"
"197","JILIN UNIVERSITY","CHINA MAINLAND","2168","23334","10.76","21"
"198","UNIVERSITY OF MICHIGAN","USA","1639","23321","14.23","18"
"199","UNIVERSITI TEKNOLOGI MALAYSIA","MALAYSIA","1043","23210","22.25","19"
"200","UNIVERSITY OF BRISTOL","ENGLAND","811","23035","28.40","23"
"201","ZHEJIANG UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","1529","22942","15.00","35"
"202","AUSTRALIAN NATIONAL UNIVERSITY","AUSTRALIA","948","22628","23.87","19"
"203","UNIVERSITY OF OSLO","NORWAY","878","22598","25.74","29"
"204","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","USA","1645","22460","13.65","19"
"205","DUY TAN UNIVERSITY","VIETNAM","694","22447","32.34","27"
"206","TON DUC THANG UNIVERSITY","VIETNAM","792","22340","28.21","19"
"207","EAST CHINA NORMAL UNIVERSITY","CHINA MAINLAND","1803","22336","12.39","25"
"208","UNIVERSITY OF WARWICK","ENGLAND","1146","22243","19.41","34"
"208","KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY (KAIST)","SOUTH KOREA","1956","22243","11.37","13"
"210","NEW JERSEY INSTITUTE OF TECHNOLOGY","USA","980","22239","22.69","18"
"211","UNIVERSITY OF MARYLAND COLLEGE PARK","USA","1264","22200","17.56","21"
"212","ARIZONA STATE UNIVERSITY-TEMPE","USA","1173","22193","18.92","16"
"213","HARBIN ENGINEERING UNIVERSITY","CHINA MAINLAND","1692","22189","13.11","16"
"214","AMIRKABIR UNIVERSITY OF TECHNOLOGY","IRAN","1458","22113","15.17","7"
"215","SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","1369","22102","16.14","20"
"216","NOKIA CORPORATION","FINLAND","785","21991","28.01","23"
"217","ZHENGZHOU UNIVERSITY","CHINA MAINLAND","1536","21959","14.30","22"
"218","CSIRO DATA61","AUSTRALIA","1044","21818","20.90","29"
"219","WUHAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","1466","21802","14.87","13"
"220","SHANDONG NORMAL UNIVERSITY","CHINA MAINLAND","1106","21793","19.70","26"
"221","INTERNATIONAL BUSINESS MACHINES (IBM)","USA","1417","21678","15.30","18"
"222","GHENT UNIVERSITY","BELGIUM","1542","21042","13.65","10"
"223","UNIVERSITY OF LUXEMBOURG","LUXEMBOURG","1208","20973","17.36","21"
"224","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","1084","20818","19.20","20"
"225","ASIA UNIVERSITY TAIWAN","TAIWAN","870","20771","23.87","18"
"226","TOHOKU UNIVERSITY","JAPAN","688","20740","30.15","31"
