Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): ECONOMICS & BUSINESS   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","NATIONAL BUREAU OF ECONOMIC RESEARCH","USA","6906","275057","39.83","289"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","7201","193514","26.87","179"
"3","UNIVERSITY OF LONDON","ENGLAND","9293","193298","20.80","145"
"4","HARVARD UNIVERSITY","USA","3665","125030","34.11","126"
"5","UNIVERSITY SYSTEM OF OHIO","USA","4810","97223","20.21","71"
"6","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","4963","89783","18.09","42"
"7","STANFORD UNIVERSITY","USA","2504","89499","35.74","105"
"8","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","2313","86939","37.59","84"
"9","UNIVERSITY SYSTEM OF GEORGIA","USA","3966","84765","21.37","56"
"10","UNIVERSITY OF CHICAGO","USA","2289","82298","35.95","88"
"11","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","3442","79852","23.20","61"
"12","UNIVERSITY OF TEXAS SYSTEM","USA","4066","79414","19.53","55"
"13","UNIVERSITY OF CALIFORNIA BERKELEY","USA","2246","79021","35.18","93"
"14","FEDERAL RESERVE SYSTEM - USA","USA","3754","75123","20.01","48"
"15","UNIVERSITY OF PENNSYLVANIA","USA","2438","72855","29.88","66"
"16","LEIBNIZ ASSOCIATION","GERMANY (FED REP GER)","4942","71823","14.53","38"
"17","LONDON SCHOOL ECONOMICS & POLITICAL SCIENCE","ENGLAND","3174","70792","22.30","46"
"18","COLUMBIA UNIVERSITY","USA","2386","64546","27.05","58"
"19","CENTRE FOR ECONOMIC POLICY RESEARCH - UK","ENGLAND","2943","63849","21.70","57"
"20","UNIVERSITY OF NORTH CAROLINA","USA","3066","61341","20.01","40"
"21","NEW YORK UNIVERSITY","USA","2311","59462","25.73","46"
"22","MONASH UNIVERSITY","AUSTRALIA","3221","57912","17.98","48"
"23","ERASMUS UNIVERSITY ROTTERDAM","NETHERLANDS","2713","57094","21.04","44"
"24","NORTHWESTERN UNIVERSITY","USA","1851","56674","30.62","53"
"25","ERASMUS UNIVERSITY ROTTERDAM - EXCL ERASMUS MC","NETHERLANDS","2673","55609","20.80","40"
"26","UNIVERSITY OF OXFORD","ENGLAND","2740","53132","19.39","38"
"27","IZA INSTITUTE LABOR ECONOMICS","GERMANY (FED REP GER)","3346","52652","15.74","28"
"28","UNIVERSITY OF MICHIGAN SYSTEM","USA","2038","51858","25.45","44"
"29","INDIANA UNIVERSITY SYSTEM","USA","1964","51762","26.36","43"
"30","UNIVERSITY OF MICHIGAN","USA","1976","51043","25.83","44"
"31","CENTER FOR ECONOMIC & POLICY RESEARCH (CEPR)","USA","1151","49442","42.96","48"
"32","UNIVERSITY OF CAMBRIDGE","ENGLAND","2054","49022","23.87","39"
"33","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","2201","48887","22.21","46"
"34","INDIANA UNIVERSITY BLOOMINGTON","USA","1741","48244","27.71","40"
"35","UNIVERSITY OF SOUTHERN CALIFORNIA","USA","1646","47906","29.10","40"
"36","TEXAS A&M UNIVERSITY SYSTEM","USA","2186","46574","21.31","30"
"37","ARIZONA STATE UNIVERSITY","USA","1835","46498","25.34","32"
"38","YALE UNIVERSITY","USA","1623","46272","28.51","49"
"39","CORNELL UNIVERSITY","USA","2218","45569","20.55","38"
"40","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","4149","45460","10.96","23"
"41","UNIVERSITY OF ILLINOIS SYSTEM","USA","2250","45260","20.12","24"
"42","PENNSYLVANIA STATE UNIVERSITY","USA","1998","44196","22.12","30"
"43","CALIFORNIA STATE UNIVERSITY SYSTEM","USA","2833","44067","15.55","27"
"44","PEKING UNIVERSITY","CHINA MAINLAND","2528","43887","17.36","51"
"45","UNIVERSITY OF WARWICK","ENGLAND","2031","43338","21.34","25"
"46","UNIVERSITY SYSTEM OF MARYLAND","USA","1945","43329","22.28","37"
"47","COPENHAGEN BUSINESS SCHOOL","DENMARK","2096","42963","20.50","33"
"48","UNIVERSITY OF TORONTO","CANADA","1927","42961","22.29","30"
"49","DUKE UNIVERSITY","USA","1555","42924","27.60","26"
"50","SOUTHWESTERN UNIVERSITY OF FINANCE & ECONOMICS - CHINA","CHINA MAINLAND","2537","42815","16.88","80"
"51","ARIZONA STATE UNIVERSITY-TEMPE","USA","1555","41938","26.97","30"
"52","BOCCONI UNIVERSITY","ITALY","1848","41827","22.63","24"
"53","MICHIGAN STATE UNIVERSITY","USA","1651","41758","25.29","30"
"54","UNIVERSITY OF MANCHESTER","ENGLAND","2157","41181","19.09","28"
"55","RENMIN UNIVERSITY OF CHINA","CHINA MAINLAND","2860","40619","14.20","36"
"56","UNIVERSITY OF WISCONSIN SYSTEM","USA","2601","40237","15.47","17"
"57","INDIAN INSTITUTE OF MANAGEMENT (IIM SYSTEM)","INDIA","2746","40054","14.59","37"
"58","UNIVERSITY OF GRONINGEN","NETHERLANDS","1673","40029","23.93","33"
"59","PRINCETON UNIVERSITY","USA","1087","39413","36.26","43"
"60","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","2019","39164","19.40","38"
"61","BOSTON UNIVERSITY","USA","1198","39096","32.63","48"
"62","PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK","USA","1575","38785","24.63","27"
"63","IFO INSTITUT","GERMANY (FED REP GER)","2673","38434","14.38","28"
"64","TILBURG UNIVERSITY","NETHERLANDS","1788","38382","21.47","25"
