Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): ENGINEERING   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","70445","1348146","19.14","1172"
"2","TSINGHUA UNIVERSITY","CHINA MAINLAND","36134","771539","21.35","667"
"3","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","44492","656381","14.75","284"
"4","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","31801","574160","18.05","560"
"5","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","33050","528619","15.99","281"
"6","UNIVERSITY OF CALIFORNIA SYSTEM","USA","21160","512929","24.24","434"
"7","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","29431","510133","17.33","399"
"8","XI'AN JIAOTONG UNIVERSITY","CHINA MAINLAND","28540","509650","17.86","435"
"9","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","19498","503714","25.83","500"
"10","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","28827","499728","17.34","390"
"11","ZHEJIANG UNIVERSITY","CHINA MAINLAND","28643","471534","16.46","432"
"12","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","22141","458744","20.72","432"
"13","SOUTHEAST UNIVERSITY - CHINA","CHINA MAINLAND","28137","440475","15.65","345"
"14","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","25322","416255","16.44","364"
"15","TIANJIN UNIVERSITY","CHINA MAINLAND","22918","404655","17.66","276"
"16","TONGJI UNIVERSITY","CHINA MAINLAND","22749","394133","17.33","324"
"17","CHONGQING UNIVERSITY","CHINA MAINLAND","21174","388279","18.34","396"
"18","NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM)","INDIA","26915","375758","13.96","200"
"19","HONG KONG POLYTECHNIC UNIVERSITY","HONG KONG","15478","364165","23.53","382"
"20","BEIHANG UNIVERSITY","CHINA MAINLAND","22270","353380","15.87","308"
"21","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","13537","349738","25.84","385"
"22","BEIJING INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","18960","346165","18.26","386"
"23","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","13603","331676","24.38","284"
"24","DALIAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","19729","329667","16.71","300"
"25","SOUTH CHINA UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","16038","328159","20.46","277"
"26","HUNAN UNIVERSITY","CHINA MAINLAND","13277","314888","23.72","405"
"27","CENTRAL SOUTH UNIVERSITY","CHINA MAINLAND","16365","313118","19.13","260"
"28","ISLAMIC AZAD UNIVERSITY","IRAN","16216","312279","19.26","230"
"29","NORTHWESTERN POLYTECHNICAL UNIVERSITY","CHINA MAINLAND","19316","302564","15.66","298"
"30","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","CHINA MAINLAND","13706","295045","21.53","222"
"31","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","10979","290271","26.44","283"
"32","UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA","CHINA MAINLAND","16395","267271","16.30","274"
"33","CHINA UNIVERSITY OF MINING & TECHNOLOGY","CHINA MAINLAND","15848","253407","15.99","148"
"34","CITY UNIVERSITY OF HONG KONG","HONG KONG","9792","245205","25.04","290"
"35","CHINA UNIVERSITY OF PETROLEUM","CHINA MAINLAND","13513","241561","17.88","183"
"36","UNIVERSITY OF TEXAS SYSTEM","USA","11791","237206","20.12","149"
"37","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","13270","232378","17.51","139"
"38","NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS","CHINA MAINLAND","17755","231460","13.04","152"
"39","NORTH CHINA ELECTRIC POWER UNIVERSITY","CHINA MAINLAND","12511","228919","18.30","128"
"40","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","7616","228844","30.05","193"
"41","SHANDONG UNIVERSITY","CHINA MAINLAND","14011","228450","16.31","206"
"42","NORTHEASTERN UNIVERSITY - CHINA","CHINA MAINLAND","13728","224375","16.34","227"
"43","IMPERIAL COLLEGE LONDON","ENGLAND","9454","221914","23.47","183"
"44","WUHAN UNIVERSITY","CHINA MAINLAND","11979","221816","18.52","230"
"45","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","11626","220779","18.99","147"
"46","UNIVERSITY SYSTEM OF GEORGIA","USA","10719","220252","20.55","169"
"47","UNIVERSITY OF NEW SOUTH WALES SYDNEY","AUSTRALIA","8321","215139","25.85","187"
"48","SOUTHWEST JIAOTONG UNIVERSITY","CHINA MAINLAND","14107","213425","15.13","165"
"49","DELFT UNIVERSITY OF TECHNOLOGY","NETHERLANDS","10635","208539","19.61","117"
"50","UNIVERSITY SYSTEM OF OHIO","USA","9914","206175","20.80","149"
"51","UNIVERSITY OF TEHRAN","IRAN","9019","206058","22.85","140"
"52","KING ABDULAZIZ UNIVERSITY","SAUDI ARABIA","7713","203673","26.41","212"
"53","AALBORG UNIVERSITY","DENMARK","7593","202621","26.69","170"
"54","UNIVERSITY OF LONDON","ENGLAND","9683","200717","20.73","181"
"55","SICHUAN UNIVERSITY","CHINA MAINLAND","11882","199500","16.79","217"
"56","GEORGIA INSTITUTE OF TECHNOLOGY","USA","8968","189401","21.12","147"
"57","BEIJING JIAOTONG UNIVERSITY","CHINA MAINLAND","12030","188179","15.64","138"
"58","NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","11913","185697","15.59","183"
"59","JIANGSU UNIVERSITY","CHINA MAINLAND","9596","184883","19.27","230"
"60","UNIVERSITY OF MICHIGAN SYSTEM","USA","7629","178943","23.46","106"
"61","STANFORD UNIVERSITY","USA","4951","177989","35.95","183"
"62","PEKING UNIVERSITY","CHINA MAINLAND","9150","177418","19.39","189"
"63","UNIVERSITY OF MICHIGAN","USA","7440","176188","23.68","102"
"64","ETH ZURICH","SWITZERLAND","6772","175825","25.96","156"
"65","TECHNICAL UNIVERSITY OF DENMARK","DENMARK","7586","175805","23.17","117"
"66","XIDIAN UNIVERSITY","CHINA MAINLAND","12552","174356","13.89","133"
"67","UNIVERSITY OF TECHNOLOGY SYDNEY","AUSTRALIA","6416","168393","26.25","222"
"68","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","8680","167105","19.25","124"
"69","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","10163","166616","16.39","166"
"70","POLYTECHNIC UNIVERSITY OF MILAN","ITALY","9059","166125","18.34","99"
"71","BEIJING UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","11484","165599","14.42","124"
"72","CHINA UNIVERSITY OF GEOSCIENCES","CHINA MAINLAND","8721","163822","18.78","149"
"73","SHENZHEN UNIVERSITY","CHINA MAINLAND","8857","163347","18.44","148"
"74","WUHAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","9808","162645","16.58","152"
"75","UNIVERSITY OF CALIFORNIA BERKELEY","USA","5671","162505","28.66","133"
"76","UNIVERSITY OF ILLINOIS SYSTEM","USA","8366","161845","19.35","122"
"77","UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING","CHINA MAINLAND","9236","160283","17.35","144"
"78","TEXAS A&M UNIVERSITY SYSTEM","USA","9126","157012","17.20","90"
"79","GUANGDONG UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","7993","155747","19.49","209"
"80","UNIVERSITI MALAYA","MALAYSIA","5241","153795","29.34","156"
"81","PURDUE UNIVERSITY SYSTEM","USA","8369","152335","18.20","96"
"82","UNIV BRETAGNE LOIRE","N/A","8980","151167","16.83","87"
"83","HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY","HONG KONG","6138","148539","24.20","131"
"84","NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU)","NORWAY","7674","148108","19.30","96"
"85","PURDUE UNIVERSITY","USA","8073","147450","18.26","94"
"86","UNIVERSITI TEKNOLOGI MALAYSIA","MALAYSIA","5613","147034","26.20","131"
"87","UNIVERSITY OF HONG KONG","HONG KONG","5891","146651","24.89","120"
"88","UNIVERSITY OF WATERLOO","CANADA","5976","146276","24.48","131"
"89","HOHAI UNIVERSITY","CHINA MAINLAND","10049","144557","14.39","97"
"90","ROYAL INSTITUTE OF TECHNOLOGY","SWEDEN","6796","142334","20.94","111"
"91","TEXAS A&M UNIVERSITY COLLEGE STATION","USA","8176","141040","17.25","75"
"92","UNIVERSITY OF SYDNEY","AUSTRALIA","5321","139548","26.23","126"
"93","CNRS - INSTITUTE FOR ENGINEERING & SYSTEMS SCIENCES (INSIS)","FRANCE","8459","139056","16.44","59"
"94","UNIVERSITY OF ALBERTA","CANADA","7523","138600","18.42","106"
"95","HARBIN ENGINEERING UNIVERSITY","CHINA MAINLAND","10186","136904","13.44","108"
"96","HEFEI UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","9189","135217","14.72","102"
"97","UNIVERSITY OF CAMBRIDGE","ENGLAND","5683","135090","23.77","110"
"98","SHANGHAI UNIVERSITY","CHINA MAINLAND","8739","134288","15.37","137"
"99","KING FAHD UNIVERSITY OF PETROLEUM & MINERALS","SAUDI ARABIA","6184","132676","21.45","185"
"100","KING SAUD UNIVERSITY","SAUDI ARABIA","8338","132518","15.89","179"
"101","JILIN UNIVERSITY","CHINA MAINLAND","9796","131249","13.40","104"
"102","UNIVERSITY OF TORONTO","CANADA","5074","129155","25.45","89"
