Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): ENVIRONMENT/ECOLOGY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","51105","1340948","26.24","1020"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","20183","723712","35.86","518"
"3","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","20260","571229","28.19","366"
"4","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","21352","522153","24.45","344"
"5","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","8684","391250","45.05","332"
"6","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","10378","373586","36.00","295"
"7","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","10873","334323","30.75","224"
"8","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","10612","302679","28.52","217"
"9","TSINGHUA UNIVERSITY","CHINA MAINLAND","7953","276280","34.74","323"
"10","WAGENINGEN UNIVERSITY & RESEARCH","NETHERLANDS","6372","268589","42.15","224"
"11","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","6827","264604","38.76","246"
"12","UNITED STATES DEPARTMENT OF THE INTERIOR","USA","10798","260207","24.10","136"
"13","INRAE","FRANCE","8576","254082","29.63","188"
"14","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)","USA","9437","245427","26.01","131"
"15","UNIVERSITY OF QUEENSLAND","AUSTRALIA","6170","237047","38.42","176"
"16","PEKING UNIVERSITY","CHINA MAINLAND","6929","234341","33.82","245"
"17","INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD)","FRANCE","8353","232275","27.81","167"
"18","COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO)","AUSTRALIA","4774","228642","47.89","183"
"19","UNITED STATES GEOLOGICAL SURVEY","USA","8843","223571","25.28","115"
"20","ETH ZURICH","SWITZERLAND","4539","211533","46.60","195"
"21","UNIVERSITY OF LONDON","ENGLAND","5750","209234","36.39","189"
"22","RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS","CHINA MAINLAND","6246","201361","32.24","138"
"23","BEIJING NORMAL UNIVERSITY","CHINA MAINLAND","7540","197336","26.17","162"
"24","UNIVERSITY OF CALIFORNIA BERKELEY","USA","4654","195724","42.06","161"
"25","ZHEJIANG UNIVERSITY","CHINA MAINLAND","7519","195116","25.95","157"
"26","UNIVERSITY OF OXFORD","ENGLAND","4521","187206","41.41","182"
"27","NANJING UNIVERSITY","CHINA MAINLAND","5649","177549","31.43","150"
"28","UNIVERSITY OF MINNESOTA SYSTEM","USA","4063","174952","43.06","162"
"29","HARVARD UNIVERSITY","USA","4337","173596","40.03","115"
"30","STANFORD UNIVERSITY","USA","3370","173423","51.46","168"
"31","UNIVERSITY OF BRITISH COLUMBIA","CANADA","4942","171652","34.73","137"
"32","LEIBNIZ ASSOCIATION","GERMANY (FED REP GER)","5157","170215","33.01","124"
"33","UNIVERSITY SYSTEM OF OHIO","USA","5869","170109","28.98","126"
"34","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","9511","169401","17.81","123"
"35","UNIVERSITY OF FLORIDA","USA","5579","167499","30.02","129"
"36","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","3790","167491","44.19","154"
"37","IMPERIAL COLLEGE LONDON","ENGLAND","3362","167479","49.82","135"
"38","UNIVERSITY OF WASHINGTON","USA","4501","167043","37.11","133"
"39","SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES","SWEDEN","4872","165429","33.96","136"
"40","UNIVERSITY SYSTEM OF GEORGIA","USA","5234","163960","31.33","107"
"41","UNIVERSITY OF WASHINGTON SEATTLE","USA","4317","163125","37.79","131"
"42","UNIVERSITY OF EXETER","ENGLAND","3817","162781","42.65","165"
"43","UTRECHT UNIVERSITY","NETHERLANDS","4144","162281","39.16","153"
"44","UNIVERSITY SYSTEM OF MARYLAND","USA","4083","161454","39.54","153"
"45","UNIVERSITE DE MONTPELLIER","FRANCE","5315","158982","29.91","127"
"46","CNRS - INSTITUTE OF ECOLOGY & ENVIRONMENT (INEE)","FRANCE","4995","156474","31.33","91"
"47","INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS","CHINA MAINLAND","5751","155559","27.05","128"
"48","UNIVERSITY OF COPENHAGEN","DENMARK","4094","153679","37.54","123"
"49","AARHUS UNIVERSITY","DENMARK","4949","153185","30.95","118"
"50","UNIVERSITY OF WISCONSIN SYSTEM","USA","4298","152707","35.53","121"
"51","HELMHOLTZ CENTER FOR ENVIRONMENTAL RESEARCH (UFZ)","GERMANY (FED REP GER)","3862","151179","39.15","124"
"52","UNIVERSITY OF CALIFORNIA DAVIS","USA","4909","148981","30.35","92"
"53","UNIVERSITY OF NEW SOUTH WALES SYDNEY","AUSTRALIA","4014","146857","36.59","134"
"54","STOCKHOLM UNIVERSITY","SWEDEN","3394","143936","42.41","118"
"55","UNIV BRETAGNE LOIRE","N/A","5530","143868","26.02","91"
"56","SMITHSONIAN INSTITUTION","USA","3865","141402","36.59","110"
"57","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","5643","141027","24.99","105"
"58","UNIVERSITY OF COLORADO SYSTEM","USA","3372","140245","41.59","108"
"59","NATIONAL OCEANIC ATMOSPHERIC ADMIN (NOAA) - USA","USA","3899","139704","35.83","88"
"60","UNIVERSITY OF MELBOURNE","AUSTRALIA","4181","137102","32.79","117"
"61","COLORADO STATE UNIVERSITY SYSTEM","USA","4096","136400","33.30","117"
"62","COLORADO STATE UNIVERSITY FORT COLLINS","USA","4053","136004","33.56","117"
"63","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","3250","135456","41.68","123"
"64","UNIVERSIDADE DE SAO PAULO","BRAZIL","6388","134610","21.07","81"
"65","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","5236","134465","25.68","91"
"66","TONGJI UNIVERSITY","CHINA MAINLAND","5305","133630","25.19","103"
"67","UNIVERSITY OF CAMBRIDGE","ENGLAND","3128","131523","42.05","129"
"68","UNIVERSITY OF COLORADO BOULDER","USA","2927","131506","44.93","107"
"69","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","6395","128363","20.07","64"
"70","UNIVERSITY OF WISCONSIN MADISON","USA","3280","125831","38.36","101"
"71","UNITED STATES FOREST SERVICE","USA","4410","125763","28.52","78"
"72","UNIVERSITE PARIS SACLAY","FRANCE","3362","125201","37.24","109"
"73","MICHIGAN STATE UNIVERSITY","USA","3551","124194","34.97","86"
"74","YALE UNIVERSITY","USA","2798","123659","44.20","120"
"75","CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET)","ARGENTINA","5720","123438","21.58","81"
"76","NORTHWEST A&F UNIVERSITY - CHINA","CHINA MAINLAND","4695","122808","26.16","97"
"77","OREGON STATE UNIVERSITY","USA","3902","122555","31.41","77"
"78","CORNELL UNIVERSITY","USA","3711","121336","32.70","88"
"79","UNIVERSITE PSL","FRANCE","3590","119804","33.37","97"
"80","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","4086","119417","29.23","80"
"81","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","4008","117838","29.40","86"
"82","UNIVERSITY COLLEGE LONDON","ENGLAND","2820","117744","41.75","126"
"83","MCGILL UNIVERSITY","CANADA","3111","117634","37.81","87"
"84","JAMES COOK UNIVERSITY","AUSTRALIA","2887","117544","40.71","93"
"85","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","4121","117313","28.47","127"
"86","UNIVERSITY OF MARYLAND COLLEGE PARK","USA","2647","117168","44.26","120"
"87","UNIVERSITY OF HELSINKI","FINLAND","4165","117105","28.12","96"
"88","SORBONNE UNIVERSITE","FRANCE","3970","115757","29.16","84"
"89","UNIVERSITY OF WESTERN AUSTRALIA","AUSTRALIA","3443","115237","33.47","102"
"90","CHINA UNIVERSITY OF GEOSCIENCES","CHINA MAINLAND","5707","114424","20.05","67"
"91","GERMAN RESEARCH FOUNDATION (DFG)","GERMANY (FED REP GER)","2285","114292","50.02","122"
"92","UNIVERSITY OF TEXAS SYSTEM","USA","3975","114241","28.74","77"
"93","GERMAN CENTRE FOR INTEGRATIVE BIODIVERSITY RESEARCH (IDIV)","GERMANY (FED REP GER)","2284","114143","49.98","122"
"94","UNIVERSITY OF TORONTO","CANADA","3787","113965","30.09","83"
"95","UNIVERSITY OF CALIFORNIA SANTA BARBARA","USA","2314","112852","48.77","108"
"96","UNITED STATES ENVIRONMENTAL PROTECTION AGENCY","USA","3600","112498","31.25","52"
"97","TEXAS A&M UNIVERSITY SYSTEM","USA","4812","111862","23.25","61"
"98","UK CENTRE FOR ECOLOGY & HYDROLOGY (UKCEH)","WALES","2321","109599","47.22","93"
"99","GHENT UNIVERSITY","BELGIUM","3748","109388","29.19","65"
"100","UNIVERSITY OF ILLINOIS SYSTEM","USA","3888","108949","28.02","63"
"101","DUKE UNIVERSITY","USA","2771","107525","38.80","72"
"102","COLUMBIA UNIVERSITY","USA","2657","107147","40.33","104"
"103","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","2939","106979","36.40","88"
"104","UNIVERSITY OF MICHIGAN SYSTEM","USA","3436","106907","31.11","84"
"105","UNIVERSITY OF MICHIGAN","USA","3423","106630","31.15","83"
"106","UNIVERSITY OF NORTH CAROLINA","USA","4123","105946","25.70","66"
"107","CHINESE ACADEMY OF AGRICULTURAL SCIENCES","CHINA MAINLAND","4168","105859","25.40","68"
"108","LUND UNIVERSITY","SWEDEN","3170","104914","33.10","79"
"109","UNIVERSITE DE TOULOUSE","FRANCE","3171","104743","33.03","83"
"110","UNIVERSITY OF ARIZONA","USA","3111","104434","33.57","77"
"111","UNIVERSITY OF ALBERTA","CANADA","3634","103758","28.55","76"
"112","CHINA AGRICULTURAL UNIVERSITY","CHINA MAINLAND","4064","103413","25.45","80"
"113","ARIZONA STATE UNIVERSITY","USA","2974","102933","34.61","85"
"114","CIRAD","FRANCE","3165","102463","32.37","89"
"115","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","3821","101696","26.62","122"
"116","AUSTRALIAN NATIONAL UNIVERSITY","AUSTRALIA","2747","100946","36.75","86"
