Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): IMMUNOLOGY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","US DEPT HLTH HUMAN SERVICES","N/A","14566","456503","31.34","220"
"2","HARVARD UNIVERSITY","USA","10660","413754","38.81","344"
"3","UNIVERSITY OF CALIFORNIA SYSTEM","USA","11733","389429","33.19","264"
"4","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","8247","346564","42.02","289"
"5","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","10498","324301","30.89","210"
"6","UNIVERSITY OF LONDON","ENGLAND","10345","315389","30.49","212"
"7","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","7686","300469","39.09","173"
"8","HARVARD MEDICAL SCHOOL","USA","6581","280303","42.59","247"
"9","UNIVERSITE PARIS CITE","FRANCE","6583","217813","33.09","146"
"10","JOHNS HOPKINS UNIVERSITY","USA","6779","203004","29.95","128"
"11","UNIVERSITY OF TEXAS SYSTEM","USA","5367","188358","35.10","133"
"12","ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP)","FRANCE","5394","173277","32.12","120"
"13","IMPERIAL COLLEGE LONDON","ENGLAND","4577","159994","34.96","120"
"14","UNIVERSITY SYSTEM OF OHIO","USA","5264","155998","29.63","109"
"15","NIH NATIONAL INSTITUTE OF ALLERGY & INFECTIOUS DISEASES (NIAID)","USA","4206","155518","36.98","82"
"16","CENTERS FOR DISEASE CONTROL & PREVENTION - USA","USA","6547","154426","23.59","48"
"17","UNIVERSITY OF OXFORD","ENGLAND","4597","150589","32.76","96"
"18","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","4744","149764","31.57","84"
"19","UNIVERSITY OF WASHINGTON","USA","4990","147101","29.48","102"
"20","UNIVERSITY OF PENNSYLVANIA","USA","3306","146508","44.32","140"
"21","UNIVERSITY OF WASHINGTON SEATTLE","USA","4961","146185","29.47","102"
"22","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","4367","145054","33.22","95"
"23","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","3958","144035","36.39","108"
"24","UNIVERSITY OF MELBOURNE","AUSTRALIA","3971","141173","35.55","94"
"25","UNIVERSITY COLLEGE LONDON","ENGLAND","4127","129595","31.40","103"
"26","MASSACHUSETTS GENERAL HOSPITAL","USA","3176","129317","40.72","106"
"27","KAROLINSKA INSTITUTET","SWEDEN","3871","128020","33.07","81"
"28","BRIGHAM & WOMEN'S HOSPITAL","USA","2800","126957","45.34","123"
"29","HOWARD HUGHES MEDICAL INSTITUTE","USA","1362","122684","90.08","144"
