Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): MATERIALS SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","88925","3264587","36.71","2194"
"2","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","24985","1125950","45.07","689"
"3","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","26784","990881","37.00","678"
"4","UNIVERSITY OF CALIFORNIA SYSTEM","USA","16305","812534","49.83","547"
"5","TSINGHUA UNIVERSITY","CHINA MAINLAND","19144","781845","40.84","671"
"6","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","28613","641998","22.44","202"
"7","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","CHINA MAINLAND","16253","578997","35.62","415"
"8","NANYANG TECHNOLOGICAL UNIVERSITY","SINGAPORE","9078","539452","59.42","467"
"9","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","17498","523797","29.93","349"
"10","ZHEJIANG UNIVERSITY","CHINA MAINLAND","15196","518465","34.12","421"
"11","HARBIN INSTITUTE OF TECHNOLOGY","CHINA MAINLAND","19706","482903","24.51","211"
"12","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","12969","479907","37.00","317"
"13","CENTRAL SOUTH UNIVERSITY","CHINA MAINLAND","19644","476327","24.25","286"
"14","PEKING UNIVERSITY","CHINA MAINLAND","10376","466759","44.98","342"
"15","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","25443","459680","18.07","101"
"16","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","10491","456370","43.50","270"
"17","SOUTH CHINA UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","13616","442065","32.47","262"
"18","XI'AN JIAOTONG UNIVERSITY","CHINA MAINLAND","15519","439800","28.34","321"
"19","TIANJIN UNIVERSITY","CHINA MAINLAND","12564","422443","33.62","284"
"20","UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING","CHINA MAINLAND","19197","421104","21.94","210"
"21","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","15106","416214","27.55","187"
"22","SOOCHOW UNIVERSITY - CHINA","CHINA MAINLAND","9989","410326","41.08","278"
"23","NORTHWESTERN POLYTECHNICAL UNIVERSITY","CHINA MAINLAND","15438","409762","26.54","356"
"24","UNIVERSITY SYSTEM OF GEORGIA","USA","6963","408075","58.61","278"
"25","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","8487","400904","47.24","291"
"26","GEORGIA INSTITUTE OF TECHNOLOGY","USA","6030","382974","63.51","265"
"27","SICHUAN UNIVERSITY","CHINA MAINLAND","13829","375750","27.17","238"
"28","ZHENGZHOU UNIVERSITY","CHINA MAINLAND","10017","367394","36.68","355"
"29","JILIN UNIVERSITY","CHINA MAINLAND","11611","363509","31.31","208"
"30","FUDAN UNIVERSITY","CHINA MAINLAND","8730","353640","40.51","308"
"31","WUHAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","10850","346749","31.96","225"
"32","CITY UNIVERSITY OF HONG KONG","HONG KONG","7532","345689","45.90","345"
"33","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","5616","339993","60.54","249"
"34","UNIVERSITY OF TEXAS SYSTEM","USA","7483","323172","43.19","191"
"35","STANFORD UNIVERSITY","USA","4299","320151","74.47","258"
"36","NANJING UNIVERSITY","CHINA MAINLAND","8328","311101","37.36","241"
"37","SHENZHEN UNIVERSITY","CHINA MAINLAND","8538","308760","36.16","214"
"38","UNIVERSITY SYSTEM OF OHIO","USA","7771","308263","39.67","168"
"39","CHONGQING UNIVERSITY","CHINA MAINLAND","11416","305344","26.75","178"
