Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): MATHEMATICS   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","19677","125705","6.39","114"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","9450","86503","9.15","151"
"3","CNRS - NATIONAL INSTITUTE FOR MATHEMATICAL SCIENCES (INSMI)","FRANCE","8175","57573","7.04","53"
"4","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","7777","53218","6.84","81"
"5","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","5507","47070","8.55","204"
"6","KING ABDULAZIZ UNIVERSITY","SAUDI ARABIA","4063","45618","11.23","155"
"7","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","3678","41380","11.25","62"
"8","CHINA MEDICAL UNIVERSITY TAIWAN","TAIWAN","3165","39378","12.44","187"
"9","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","10232","35773","3.50","14"
"10","UNIVERSITE PARIS CITE","FRANCE","4806","35607","7.41","32"
"11","SORBONNE UNIVERSITE","FRANCE","4234","34206","8.08","37"
"12","UNIVERSITY OF TEXAS SYSTEM","USA","3883","33144","8.54","52"
"13","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","2621","32613","12.44","53"
"14","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","3597","31920","8.87","87"
"15","UNIV BRETAGNE LOIRE","N/A","5120","31324","6.12","28"
"16","STANFORD UNIVERSITY","USA","2099","31108","14.82","97"
"17","ETH ZURICH","SWITZERLAND","2294","30151","13.14","45"
"18","PRINCETON UNIVERSITY","USA","2050","28991","14.14","75"
"19","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","5843","28329","4.85","44"
"20","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","3205","27927","8.71","27"
"21","UNIVERSITY OF CALIFORNIA BERKELEY","USA","2339","27489","11.75","53"
"22","UNIVERSITY OF OXFORD","ENGLAND","3249","27283","8.40","56"
"23","UNIVERSITE PARIS SACLAY","FRANCE","3839","26947","7.02","20"
"24","CHINA MEDICAL UNIVERSITY HOSPITAL - TAIWAN","TAIWAN","2071","26555","12.82","126"
"25","UNIVERSITY OF LONDON","ENGLAND","3498","26286","7.51","43"
"26","UNIVERSITY OF CAMBRIDGE","ENGLAND","2337","26081","11.16","65"
"27","UNIVERSITY SYSTEM OF OHIO","USA","4352","25264","5.81","25"
"28","HARVARD UNIVERSITY","USA","2119","25208","11.90","53"
