Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): MICROBIOLOGY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF CALIFORNIA SYSTEM","USA","6976","257407","36.90","221"
"2","US DEPT HLTH HUMAN SERVICES","N/A","5932","196536","33.13","132"
"3","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","7480","181298","24.24","149"
"4","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","6948","176879","25.46","86"
"5","HARVARD UNIVERSITY","USA","3659","154572","42.24","136"
"6","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","3667","141683","38.64","95"
"7","UNIVERSITY OF TEXAS SYSTEM","USA","3102","113029","36.44","88"
"8","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","4616","110703","23.98","58"
"9","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","2379","101282","42.57","89"
"10","PASTEUR NETWORK","FRANCE","3922","99190","25.29","56"
"11","UNIVERSITE PARIS CITE","FRANCE","3566","99167","27.81","62"
"12","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","3675","97749","26.60","63"
"13","HARVARD MEDICAL SCHOOL","USA","2160","93850","43.45","85"
"14","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","2135","92993","43.56","83"
"15","UNIVERSITY OF LONDON","ENGLAND","2957","92359","31.23","75"
"16","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","2891","89741","31.04","52"
"17","INRAE","FRANCE","3651","89259","24.45","49"
"18","UNIVERSITY SYSTEM OF OHIO","USA","2656","81092","30.53","62"
"19","UNIVERSITY OF OXFORD","ENGLAND","2128","80147","37.66","76"
"20","NIH NATIONAL INSTITUTE OF ALLERGY & INFECTIOUS DISEASES (NIAID)","USA","2014","78981","39.22","57"
"21","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","3163","76595","24.22","55"
"22","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","1412","72745","51.52","80"
"23","INSTITUT PASTEUR PARIS","FRANCE","2305","72727","31.55","45"
"24","CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB)","FRANCE","2366","70007","29.59","40"
"25","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","2503","69252","27.67","39"
"26","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","1558","69234","44.44","59"
"27","UNIVERSITY OF COPENHAGEN","DENMARK","1924","68905","35.81","60"
"28","CHINESE ACADEMY OF AGRICULTURAL SCIENCES","CHINA MAINLAND","4372","67982","15.55","47"
"29","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)","USA","2878","66421","23.08","48"
"30","UNIVERSITY OF WASHINGTON","USA","1820","66417","36.49","56"
"31","UNIVERSITY SYSTEM OF GEORGIA","USA","2495","65749","26.35","42"
"32","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","1682","64103","38.11","49"
"33","UNIVERSITY OF WASHINGTON SEATTLE","USA","1786","63567","35.59","53"
"34","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","2659","62537","23.52","31"
"35","CORNELL UNIVERSITY","USA","1842","62224","33.78","58"
"36","UNIVERSITY OF NORTH CAROLINA","USA","1615","61621","38.16","40"
"37","UNIVERSITY OF MELBOURNE","AUSTRALIA","1991","61571","30.92","48"
"38","IMPERIAL COLLEGE LONDON","ENGLAND","1750","60617","34.64","45"
"39","LEIBNIZ ASSOCIATION","GERMANY (FED REP GER)","2210","58340","26.40","41"
"40","HOWARD HUGHES MEDICAL INSTITUTE","USA","1009","57627","57.11","52"
"41","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","3659","56639","15.48","39"
"42","UTRECHT UNIVERSITY","NETHERLANDS","1407","56525","40.17","53"
"43","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","1341","55904","41.69","56"
"44","UNIVERSITE PARIS SACLAY","FRANCE","1863","55009","29.53","37"
"45","ZHEJIANG UNIVERSITY","CHINA MAINLAND","2523","54939","21.78","61"
"46","UK RESEARCH & INNOVATION (UKRI)","ENGLAND","1909","54576","28.59","43"
"47","UNIVERSITY OF WISCONSIN SYSTEM","USA","1880","54329","28.90","38"
"48","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL","USA","1235","53673","43.46","37"
