Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): MOLECULAR BIOLOGY & GENETICS   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","HARVARD UNIVERSITY","USA","17807","1387955","77.94","938"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","22179","1309492","59.04","795"
"3","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","12616","996425","78.98","675"
"4","HARVARD MEDICAL SCHOOL","USA","11785","954127","80.96","643"
"5","HOWARD HUGHES MEDICAL INSTITUTE","USA","7026","751116","106.91","471"
"6","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","6696","744828","111.23","568"
"7","UNIVERSITY OF TEXAS SYSTEM","USA","11412","716447","62.78","443"
"8","US DEPT HLTH HUMAN SERVICES","N/A","10970","648590","59.12","357"
"9","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","10207","627646","61.49","347"
"10","UNIVERSITY OF LONDON","ENGLAND","10333","580130","56.14","360"
"11","BROAD INSTITUTE","USA","4434","577333","130.21","473"
"12","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","12947","568067","43.88","230"
"13","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","15744","567614","36.05","289"
"14","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","14134","566337","40.07","179"
"15","STANFORD UNIVERSITY","USA","6660","520599","78.17","350"
"16","MASSACHUSETTS GENERAL HOSPITAL","USA","4677","472136","100.95","359"
"17","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","7924","469291","59.22","292"
"18","UNIVERSITY OF CAMBRIDGE","ENGLAND","6228","452622","72.68","293"
"19","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","5547","436165","78.63","310"
"20","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","6522","409611","62.80","197"
"21","UNIVERSITY OF PENNSYLVANIA","USA","6367","398002","62.51","253"
"22","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","6297","388132","61.64","182"
"23","UNIVERSITY OF OXFORD","ENGLAND","5415","376031","69.44","224"
"24","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","5029","361686","71.92","232"
"25","JOHNS HOPKINS UNIVERSITY","USA","5588","352964","63.16","222"
"26","UNIVERSITY COLLEGE LONDON","ENGLAND","5603","338550","60.42","226"
"27","UNIVERSITY OF TORONTO","CANADA","5997","334550","55.79","192"
"28","UNIVERSITY OF WASHINGTON","USA","4777","329314","68.94","208"
"29","UNIVERSITY OF WASHINGTON SEATTLE","USA","4736","328395","69.34","208"
"30","CORNELL UNIVERSITY","USA","4767","325681","68.32","207"
"31","UNIVERSITE PARIS CITE","FRANCE","6307","323096","51.23","147"
"32","COLUMBIA UNIVERSITY","USA","4394","319234","72.65","211"
"33","DANA-FARBER CANCER INSTITUTE","USA","2913","317625","109.04","246"
