Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): MULTIDISCIPLINARY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF CALIFORNIA SYSTEM","USA","1055","60245","57.10","40"
"2","HARVARD UNIVERSITY","USA","728","47080","64.67","50"
"3","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","734","36060","49.13","28"
"4","HARVARD MEDICAL SCHOOL","USA","342","27190","79.50","31"
"5","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","624","26918","43.14","18"
"6","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","368","25767","70.02","28"
"7","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","338","25349","75.00","27"
"8","HOWARD HUGHES MEDICAL INSTITUTE","USA","193","24883","128.93","27"
"9","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","313","24492","78.25","17"
"10","US DEPT HLTH HUMAN SERVICES","N/A","421","22329","53.04","17"
"11","UNIVERSITY OF OXFORD","ENGLAND","351","20720","59.03","16"
"12","UNIVERSITY OF LONDON","ENGLAND","592","20119","33.98","14"
"13","COLUMBIA UNIVERSITY","USA","192","20082","104.59","16"
"14","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","307","19578","63.77","17"
"15","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","261","18826","72.13","13"
"16","UNIVERSITY OF TEXAS SYSTEM","USA","351","18659","53.16","12"
"17","STANFORD UNIVERSITY","USA","295","18352","62.21","19"
"18","IMPERIAL COLLEGE LONDON","ENGLAND","245","17648","72.03","13"
"19","UNIVERSITY OF CAMBRIDGE","ENGLAND","309","16934","54.80","13"
"20","UNIVERSITY OF WASHINGTON","USA","223","15857","71.11","14"
"21","UNIVERSITY OF WASHINGTON SEATTLE","USA","219","15775","72.03","14"
"22","JOHNS HOPKINS UNIVERSITY","USA","257","15344","59.70","9"
