Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): NEUROSCIENCE & BEHAVIOR   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF CALIFORNIA SYSTEM","USA","27939","987749","35.35","862"
"2","HARVARD UNIVERSITY","USA","23009","860524","37.40","776"
"3","UNIVERSITY OF LONDON","ENGLAND","20344","757505","37.23","691"
"4","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","19774","719025","36.36","621"
"5","HARVARD MEDICAL SCHOOL","USA","15228","548837","36.04","542"
"6","UNIVERSITY COLLEGE LONDON","ENGLAND","13344","522891","39.19","485"
"7","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","16864","472669","28.03","337"
"8","MASSACHUSETTS GENERAL HOSPITAL","USA","9873","391931","39.70","354"
"9","US DEPT HLTH HUMAN SERVICES","N/A","9676","380199","39.29","300"
"10","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","8597","365874","42.56","367"
"11","UNIVERSITY OF TORONTO","CANADA","12108","363619","30.03","274"
"12","JOHNS HOPKINS UNIVERSITY","USA","10221","361039","35.32","284"
"13","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","9006","359056","39.87","283"
"14","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","12553","333441","26.56","196"
"15","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","8226","320261","38.93","259"
"16","UNIVERSITY OF TEXAS SYSTEM","USA","11568","319020","27.58","217"
"17","UNIVERSITY OF PENNSYLVANIA","USA","8628","316280","36.66","263"
"18","UNIVERSITY SYSTEM OF OHIO","USA","10224","288042","28.17","212"
"19","STANFORD UNIVERSITY","USA","7137","287669","40.31","319"
"20","MAYO CLINIC","USA","7574","287578","37.97","282"
"21","US DEPARTMENT OF VETERANS AFFAIRS","USA","9276","287237","30.97","192"
"22","VETERANS HEALTH ADMINISTRATION (VHA)","USA","9041","280015","30.97","187"
"23","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","10173","279545","27.48","213"
"24","UNIVERSITY OF OXFORD","ENGLAND","6443","275458","42.75","254"
"25","COLUMBIA UNIVERSITY","USA","7428","268795","36.19","224"
"26","KING'S COLLEGE LONDON","ENGLAND","6877","264847","38.51","272"
"27","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","6307","244999","38.85","209"
"28","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","6927","242542","35.01","234"
