Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): PHARMACOLOGY & TOXICOLOGY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","13424","217012","16.17","104"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","6478","161513","24.93","174"
"3","US DEPT HLTH HUMAN SERVICES","N/A","6404","156090","24.37","124"
"4","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","8249","155500","18.85","114"
"5","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","7496","143543","19.15","96"
"6","UNIVERSITY OF LONDON","ENGLAND","5189","131504","25.34","137"
"7","HARVARD UNIVERSITY","USA","4505","123527","27.42","152"
"8","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","5489","112435","20.48","77"
"9","UNIVERSITY OF TEXAS SYSTEM","USA","4230","108310","25.61","113"
"10","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","2933","90360","30.81","87"
"11","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","3495","89664","25.65","107"
"12","CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE","CHINA MAINLAND","5173","84259","16.29","59"
"13","CHINA PHARMACEUTICAL UNIVERSITY","CHINA MAINLAND","4234","81401","19.23","49"
"14","ZHEJIANG UNIVERSITY","CHINA MAINLAND","4499","79487","17.67","60"
"15","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","4620","78853","17.07","58"
"16","FUDAN UNIVERSITY","CHINA MAINLAND","4399","75770","17.22","69"
"17","UNIVERSITY SYSTEM OF OHIO","USA","3988","75607","18.96","58"
"18","HARVARD MEDICAL SCHOOL","USA","2745","75587","27.54","97"
"19","SUN YAT SEN UNIVERSITY","CHINA MAINLAND","4093","73123","17.87","61"
"20","UNIVERSITY COLLEGE LONDON","ENGLAND","2644","72927","27.58","96"
"21","UNIVERSITY OF NORTH CAROLINA","USA","3057","71255","23.31","68"
"22","TEHRAN UNIVERSITY OF MEDICAL SCIENCES","IRAN","3742","70681","18.89","42"
"23","PEKING UNION MEDICAL COLLEGE","CHINA MAINLAND","4075","70392","17.27","47"
"24","MONASH UNIVERSITY","AUSTRALIA","2841","70099","24.67","59"
"25","SICHUAN UNIVERSITY","CHINA MAINLAND","3961","69182","17.47","78"
"26","UNIVERSITE PARIS CITE","FRANCE","3302","66186","20.04","39"
"27","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","3561","65036","18.26","54"
"28","UNIVERSITY OF COPENHAGEN","DENMARK","2796","63756","22.80","43"
"29","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL","USA","2521","59455","23.58","56"
"30","ASTRAZENECA","ENGLAND","2548","58880","23.11","47"
"31","UTRECHT UNIVERSITY","NETHERLANDS","2343","58392","24.92","48"
"32","CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED","SPAIN","2750","57970","21.08","45"
"33","JOHNS HOPKINS UNIVERSITY","USA","2316","57690","24.91","50"
"34","MASHHAD UNIVERSITY OF MEDICAL SCIENCES","IRAN","2670","57565","21.56","36"
"35","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","2843","57520","20.23","49"
"36","NANJING MEDICAL UNIVERSITY","CHINA MAINLAND","3736","57394","15.36","32"
"37","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","3425","57342","16.74","33"
"38","SOUTHERN MEDICAL UNIVERSITY - CHINA","CHINA MAINLAND","3425","57050","16.66","51"
"39","UNIVERSITY OF QUEENSLAND","AUSTRALIA","2268","56442","24.89","54"
"40","KING SAUD UNIVERSITY","SAUDI ARABIA","4147","56092","13.53","26"
"41","PEKING UNIVERSITY","CHINA MAINLAND","3270","55978","17.12","42"
"42","SHANDONG UNIVERSITY","CHINA MAINLAND","3437","55616","16.18","30"
"43","US FOOD & DRUG ADMINISTRATION (FDA)","USA","2891","54678","18.91","35"
"44","UNIVERSIDADE DE SAO PAULO","BRAZIL","4659","53937","11.58","18"
"45","CENTRAL SOUTH UNIVERSITY","CHINA MAINLAND","3429","53411","15.58","53"
"46","SHENYANG PHARMACEUTICAL UNIVERSITY","CHINA MAINLAND","3032","53386","17.61","26"
"47","PFIZER","USA","2717","53086","19.54","43"
"48","UNIVERSITY OF TORONTO","CANADA","2458","52876","21.51","48"
"49","ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP)","FRANCE","2886","52650","18.24","25"
"50","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","2959","51911","17.54","37"
"51","SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE","CHINA MAINLAND","2994","50768","16.96","31"
"52","COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA","INDIA","2781","50649","18.21","27"
"53","JILIN UNIVERSITY","CHINA MAINLAND","2766","50457","18.24","39"
"54","UNIVERSIDADE DO PORTO","PORTUGAL","2203","49831","22.62","34"
"55","ROCHE HOLDING","SWITZERLAND","2397","49431","20.62","52"
"56","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","2148","49239","22.92","35"
"57","NANJING UNIVERSITY OF CHINESE MEDICINE","CHINA MAINLAND","3323","48915","14.72","27"
"58","CAIRO UNIVERSITY","EGYPT","3099","48755","15.73","19"
"59","NATIONAL UNIVERSITY OF SINGAPORE","SINGAPORE","1800","48564","26.98","57"
"60","US DEPARTMENT OF VETERANS AFFAIRS","USA","2236","48394","21.64","40"
"61","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","1836","48326","26.32","58"
"62","KAROLINSKA INSTITUTET","SWEDEN","2092","48139","23.01","48"
"63","CAPITAL MEDICAL UNIVERSITY","CHINA MAINLAND","3775","47970","12.71","28"
"64","PFIZER USA","USA","2309","47482","20.56","40"
"65","UNIVERSITY OF SYDNEY","AUSTRALIA","2334","47026","20.15","29"
"66","GLAXOSMITHKLINE","ENGLAND","2101","46535","22.15","35"
"67","VETERANS HEALTH ADMINISTRATION (VHA)","USA","2121","45950","21.66","37"
"68","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","2171","45759","21.08","35"
"69","UNIVERSITY OF MILAN","ITALY","2375","45696","19.24","30"
"70","ZHENGZHOU UNIVERSITY","CHINA MAINLAND","3143","45526","14.48","18"
"71","GUANGZHOU UNIVERSITY OF CHINESE MEDICINE","CHINA MAINLAND","2857","45476","15.92","24"
