Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): PHYSICS   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","77252","1325260","17.16","1287"
"2","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","52895","1142774","21.60","844"
"3","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","42151","1141223","27.07","1073"
"4","UNIVERSITY OF CALIFORNIA SYSTEM","USA","27525","858504","31.19","976"
"5","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","22038","694560","31.52","724"
"6","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","25358","585889","23.10","457"
"7","ISTITUTO NAZIONALE DI FISICA NUCLEARE (INFN)","ITALY","23644","557023","23.56","496"
"8","UNIVERSITE PARIS SACLAY","FRANCE","19713","524685","26.62","419"
"9","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)","USA","11815","507626","42.96","642"
"10","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","48544","505205","10.41","220"
"11","SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN","SWITZERLAND","16400","497854","30.36","509"
"12","TSINGHUA UNIVERSITY","CHINA MAINLAND","18552","494575","26.66","539"
"13","UNIVERSITY OF TOKYO","JAPAN","16623","421736","25.37","371"
"14","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","28750","419268","14.58","447"
"15","CEA","FRANCE","15393","407659","26.48","305"
"16","STANFORD UNIVERSITY","USA","9448","404361","42.80","491"
"17","PEKING UNIVERSITY","CHINA MAINLAND","15867","393980","24.83","405"
"18","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","13705","361009","26.34","316"
"19","UNIVERSITY OF CALIFORNIA BERKELEY","USA","8818","360060","40.83","431"
"20","SORBONNE UNIVERSITE","FRANCE","11970","357685","29.88","308"
"21","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","CHINA MAINLAND","18095","335992","18.57","387"
"22","UNIVERSITY OF CAMBRIDGE","ENGLAND","8910","331614","37.22","339"
"23","UNIVERSITY SYSTEM OF OHIO","USA","10182","330015","32.41","292"
"24","HARVARD UNIVERSITY","USA","7574","324315","42.82","496"
"25","UNIVERSITY OF OXFORD","ENGLAND","9626","322369","33.49","343"
"26","LAWRENCE BERKELEY NATIONAL LABORATORY","USA","8615","319574","37.10","385"
"27","UNIVERSITY OF LONDON","ENGLAND","10008","315648","31.54","309"
"28","UNIVERSITE PARIS CITE","FRANCE","10209","306398","30.01","314"
"29","PRINCETON UNIVERSITY","USA","8465","301161","35.58","347"
"30","UNIVERSITY OF CHICAGO","USA","7563","300786","39.77","326"
"31","INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM)","INDIA","20410","297493","14.58","157"
"32","UNIVERSITY SYSTEM OF MARYLAND","USA","8096","295957","36.56","319"
"33","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","7733","293606","37.97","282"
"34","CALIFORNIA INSTITUTE OF TECHNOLOGY","USA","6261","293433","46.87","361"
"35","CNRS - NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS (IN2P3)","FRANCE","8666","285958","33.00","273"
"36","UNIVERSITY OF MARYLAND COLLEGE PARK","USA","7501","285318","38.04","312"
"37","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","9043","276799","30.61","258"
"38","UNIVERSITY OF TEXAS SYSTEM","USA","8330","267730","32.14","271"
"39","EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH (CERN)","SWITZERLAND","9324","262518","28.16","235"
"40","SAPIENZA UNIVERSITY ROME","ITALY","7807","258305","33.09","222"
"41","UNIVERSITY OF ILLINOIS SYSTEM","USA","7496","256049","34.16","240"
"42","ETH ZURICH","SWITZERLAND","7386","254116","34.41","249"
"43","CONSIGLIO NAZIONALE DELLE RICERCHE (CNR)","ITALY","11448","253671","22.16","182"
"44","NANJING UNIVERSITY","CHINA MAINLAND","11299","239413","21.19","277"
"45","SHANGHAI JIAO TONG UNIVERSITY","CHINA MAINLAND","12082","234416","19.40","244"
"46","UNIVERSITY OF MICHIGAN SYSTEM","USA","6357","233096","36.67","249"
"47","UNIVERSITY OF MICHIGAN","USA","6345","233056","36.73","249"
"48","UNIVERSITE PSL","FRANCE","7451","229180","30.76","205"
"49","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","7654","224359","29.31","230"
"50","LOMONOSOV MOSCOW STATE UNIVERSITY","RUSSIA","11342","221389","19.52","145"
"51","ARGONNE NATIONAL LABORATORY","USA","6583","216965","32.96","207"
"52","UNIVERSITY OF WASHINGTON","USA","4255","212927","50.04","267"
"53","UNIVERSITY OF WISCONSIN SYSTEM","USA","6016","212875","35.38","189"
"54","POLISH ACADEMY OF SCIENCES","POLAND","9210","212027","23.02","172"
"55","COMMUNAUTE UNIVERSITE GRENOBLE ALPES","FRANCE","8703","211851","24.34","183"
"56","UNIVERSITY OF WASHINGTON SEATTLE","USA","4193","211580","50.46","265"
"57","UNIVERSITE GRENOBLE ALPES (UGA)","FRANCE","8633","210392","24.37","181"
"58","IMPERIAL COLLEGE LONDON","ENGLAND","7384","210315","28.48","165"
"59","COLUMBIA UNIVERSITY","USA","4163","209922","50.43","251"
"60","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","SWITZERLAND","6609","209774","31.74","230"
"61","RIKEN","JAPAN","7883","209087","26.52","208"
"62","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","USA","5462","206460","37.80","216"
"63","NATIONAL RESEARCH CENTRE - KURCHATOV INSTITUTE","RUSSIA","9557","205037","21.45","121"
"64","UNIVERSITY COLLEGE LONDON","ENGLAND","6352","204719","32.23","211"
"65","KYOTO UNIVERSITY","JAPAN","8691","199854","23.00","159"
"66","UNIVERSITY OF EDINBURGH","SCOTLAND","5049","198217","39.26","205"
"67","ZHEJIANG UNIVERSITY","CHINA MAINLAND","11163","194685","17.44","215"
"68","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","11714","193558","16.52","116"
"69","DEUTSCHES ELEKTRONEN-SYNCHROTRON (DESY)","GERMANY (FED REP GER)","6557","192868","29.41","149"
"70","SLAC NATIONAL ACCELERATOR LABORATORY","USA","4747","188909","39.80","218"
"71","UNIVERSITY OF PADUA","ITALY","5513","188681","34.22","166"
"72","INSTITUT POLYTECHNIQUE DE PARIS","FRANCE","7549","187714","24.87","139"
"73","BROOKHAVEN NATIONAL LABORATORY","USA","5922","186592","31.51","167"
"74","CNRS - INSTITUTE OF PHYSICS (INP)","FRANCE","7490","186160","24.85","111"
"75","HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","10086","182862","18.13","178"
"76","UNIVERSITY OF CALIFORNIA SANTA BARBARA","USA","4958","181568","36.62","234"
