Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): PLANT & ANIMAL SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","28856","544095","18.86","831"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","18758","396026","21.11","499"
"3","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","18028","352883","19.57","396"
"4","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)","USA","19133","330958","17.30","309"
"5","INRAE","FRANCE","12746","293104","23.00","391"
"6","CHINESE ACADEMY OF AGRICULTURAL SCIENCES","CHINA MAINLAND","12904","239629","18.57","402"
"7","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","12257","236970","19.33","277"
"8","UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS","CHINA MAINLAND","11056","204777","18.52","328"
"9","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","12887","201808","15.66","226"
"10","EGYPTIAN KNOWLEDGE BANK (EKB)","EGYPT","12889","177280","13.75","278"
"11","NANJING AGRICULTURAL UNIVERSITY","CHINA MAINLAND","8140","164672","20.23","235"
"12","UNIVERSITY OF CALIFORNIA DAVIS","USA","8907","161417","18.12","189"
"13","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","5216","155574","29.83","248"
"14","WAGENINGEN UNIVERSITY & RESEARCH","NETHERLANDS","6122","153297","25.04","234"
"15","UNIVERSITY OF FLORIDA","USA","9661","151988","15.73","177"
"16","CHINA AGRICULTURAL UNIVERSITY","CHINA MAINLAND","7016","146465","20.88","276"
"17","CORNELL UNIVERSITY","USA","6752","141886","21.01","159"
"18","HUAZHONG AGRICULTURAL UNIVERSITY","CHINA MAINLAND","6116","139714","22.84","236"
"19","UK RESEARCH & INNOVATION (UKRI)","ENGLAND","4495","129148","28.73","182"
"20","UNIVERSIDADE DE SAO PAULO","BRAZIL","11919","125618","10.54","76"
"21","NORTHWEST A&F UNIVERSITY - CHINA","CHINA MAINLAND","7143","125016","17.50","175"
"22","GHENT UNIVERSITY","BELGIUM","6151","120387","19.57","171"
"23","CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET)","ARGENTINA","10671","119260","11.18","91"
"24","INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD)","FRANCE","7130","115538","16.20","132"
"25","COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO)","AUSTRALIA","4885","115458","23.64","173"
"26","BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL (BBSRC)","ENGLAND","3847","115230","29.95","167"
"27","SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES","SWEDEN","5992","113710","18.98","132"
"28","UNIVERSITY SYSTEM OF GEORGIA","USA","7429","110947","14.93","121"
"29","UNIVERSITY OF WESTERN AUSTRALIA","AUSTRALIA","4079","109464","26.84","178"
"30","ZHEJIANG UNIVERSITY","CHINA MAINLAND","4821","108301","22.46","216"
"31","INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR)","INDIA","9863","107839","10.93","118"
"32","UNIVERSITE DE MONTPELLIER","FRANCE","5769","107451","18.63","146"
"33","UNIVERSITY OF COPENHAGEN","DENMARK","5320","104548","19.65","130"
"34","UNIV BRETAGNE LOIRE","N/A","6076","104538","17.21","93"
"35","HELMHOLTZ ASSOCIATION","GERMANY (FED REP GER)","4005","100808","25.17","150"
"36","RUSSIAN ACADEMY OF SCIENCES","RUSSIA","11764","100018","8.50","91"
