Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): PSYCHIATRY/PSYCHOLOGY   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF LONDON","ENGLAND","20544","523960","25.50","611"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","23094","511679","22.16","468"
"3","HARVARD UNIVERSITY","USA","15180","376844","24.83","404"
"4","KING'S COLLEGE LONDON","ENGLAND","9331","278471","29.84","353"
"5","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","11507","234634","20.39","185"
"6","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","10133","224044","22.11","221"
"7","UNIVERSITY SYSTEM OF OHIO","USA","11914","220096","18.47","182"
"8","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","11330","219256","19.35","172"
"9","UNIVERSITY COLLEGE LONDON","ENGLAND","8315","213003","25.62","259"
"10","UNIVERSITY OF TORONTO","CANADA","9441","203700","21.58","210"
"11","UNIVERSITY OF TEXAS SYSTEM","USA","9820","192264","19.58","175"
"12","COLUMBIA UNIVERSITY","USA","7199","178654","24.82","195"
"13","HARVARD MEDICAL SCHOOL","USA","7712","175616","22.77","191"
"14","US DEPARTMENT OF VETERANS AFFAIRS","USA","8278","172426","20.83","128"
"15","YALE UNIVERSITY","USA","7656","168031","21.95","192"
"16","VETERANS HEALTH ADMINISTRATION (VHA)","USA","7941","166933","21.02","126"
"17","UNIVERSITY OF AMSTERDAM","NETHERLANDS","6123","161555","26.38","189"
"18","UNIVERSITY OF MELBOURNE","AUSTRALIA","6768","158796","23.46","201"
"19","UNIVERSITY OF NORTH CAROLINA","USA","7963","158473","19.90","129"
"20","STANFORD UNIVERSITY","USA","5203","153391","29.48","199"
"21","UNIVERSITY OF OXFORD","ENGLAND","5024","149459","29.75","225"
"22","VRIJE UNIVERSITEIT AMSTERDAM","NETHERLANDS","5862","145427","24.81","170"
"23","UNIVERSITY OF MICHIGAN SYSTEM","USA","5901","140925","23.88","129"
"24","UNIVERSITY OF MICHIGAN","USA","5866","140034","23.87","126"
"25","UNIVERSITY OF CALIFORNIA LOS ANGELES","USA","6057","138189","22.81","161"
"26","UNIVERSITY OF PENNSYLVANIA","USA","5600","130484","23.30","136"
"27","UNIVERSITY OF NEW SOUTH WALES SYDNEY","AUSTRALIA","4928","126826","25.74","143"
"28","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM","USA","6121","124604","20.36","104"
"29","KU LEUVEN","BELGIUM","4515","122245","27.08","127"
"30","KAROLINSKA INSTITUTET","SWEDEN","4631","120319","25.98","128"
"31","NEW YORK UNIVERSITY","USA","5038","115661","22.96","135"
"32","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL","USA","5066","114502","22.60","104"
"33","UTRECHT UNIVERSITY","NETHERLANDS","4864","112559","23.14","127"
"34","US DEPT HLTH HUMAN SERVICES","N/A","3666","111973","30.54","114"
"35","UNIVERSITY OF CAMBRIDGE","ENGLAND","3981","111193","27.93","155"
"36","UNIVERSITY OF WASHINGTON","USA","4787","109850","22.95","94"
"37","UNIVERSITY OF PITTSBURGH","USA","4763","109405","22.97","99"
"38","UNIVERSITY OF GRONINGEN","NETHERLANDS","4840","109128","22.55","106"
"39","UNIVERSITY OF WASHINGTON SEATTLE","USA","4610","107285","23.27","92"
"40","JOHNS HOPKINS UNIVERSITY","USA","5152","103836","20.15","99"
"41","UNIVERSITY OF QUEENSLAND","AUSTRALIA","4464","103678","23.23","116"
"42","UNIVERSITY OF BRITISH COLUMBIA","CANADA","4639","103331","22.27","105"
"43","UNIVERSITY OF ILLINOIS SYSTEM","USA","4881","103319","21.17","81"
"44","UNIVERSITY SYSTEM OF GEORGIA","USA","5515","102311","18.55","91"
"45","UNIVERSITY OF MINNESOTA SYSTEM","USA","4732","101526","21.46","95"
"46","UNIVERSITY SYSTEM OF MARYLAND","USA","4918","101243","20.59","79"
"47","MASSACHUSETTS GENERAL HOSPITAL","USA","4386","100177","22.84","112"
"48","UNIVERSITY OF MINNESOTA TWIN CITIES","USA","4592","99590","21.69","94"
"49","DUKE UNIVERSITY","USA","3994","99293","24.86","99"
"50","CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED","SPAIN","3951","99267","25.12","129"
"51","NATIONAL INSTITUTES OF HEALTH (NIH) - USA","USA","2966","98112","33.08","103"
"52","NORTHWESTERN UNIVERSITY","USA","4269","97992","22.95","109"
"53","UNIVERSITY OF SYDNEY","AUSTRALIA","4311","97984","22.73","100"
"54","UNIVERSITY OF CALIFORNIA SAN DIEGO","USA","4456","97221","21.82","88"
"55","PENNSYLVANIA STATE UNIVERSITY","USA","4988","92344","18.51","76"
"56","BOSTON UNIVERSITY","USA","3995","89566","22.42","73"
"57","UNIVERSITY OF WISCONSIN SYSTEM","USA","4347","89368","20.56","70"
"58","OHIO STATE UNIVERSITY","USA","4189","87554","20.90","84"
"59","MCGILL UNIVERSITY","CANADA","4497","85474","19.01","74"
"60","UNIVERSITY OF TEXAS AUSTIN","USA","3494","83591","23.92","100"
"61","RADBOUD UNIVERSITY NIJMEGEN","NETHERLANDS","4253","82512","19.40","92"
"62","UNIVERSITY OF CALIFORNIA SAN FRANCISCO","USA","3903","81539","20.89","71"
"63","CALIFORNIA STATE UNIVERSITY SYSTEM","USA","4791","80950","16.90","54"
"64","CIBERSAM","SPAIN","3151","79738","25.31","106"
"65","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)","FRANCE","4699","79449","16.91","67"
"66","UNIVERSITY OF MANCHESTER","ENGLAND","3145","78672","25.01","92"
"67","SOUTH LONDON & MAUDSLEY NHS TRUST","ENGLAND","2294","78072","34.03","125"
"68","UNIVERSITY OF CALIFORNIA DAVIS","USA","2788","77986","27.97","78"
"69","PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK","USA","4062","77897","19.18","64"
"70","UNIVERSITY OF BARCELONA","SPAIN","3324","76575","23.04","96"
"71","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","3344","76143","22.77","80"
"72","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","5391","74659","13.85","46"
"73","UNIVERSITY OF ZURICH","SWITZERLAND","3751","74601","19.89","89"
"74","EMORY UNIVERSITY","USA","3240","73845","22.79","73"
"75","HUMBOLDT UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","3734","73092","19.57","91"
"76","FLORIDA STATE UNIVERSITY","USA","3243","72640","22.40","57"
"77","UNIVERSITY OF MUNICH","GERMANY (FED REP GER)","3336","72435","21.71","112"
"78","UNIVERSITY OF WISCONSIN MADISON","USA","3150","71977","22.85","62"
