Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): SOCIAL SCIENCES, GENERAL   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","UNIVERSITY OF LONDON","ENGLAND","37040","554557","14.97","625"
"2","UNIVERSITY OF CALIFORNIA SYSTEM","USA","35413","525877","14.85","548"
"3","HARVARD UNIVERSITY","USA","20551","363707","17.70","437"
"4","STATE UNIVERSITY SYSTEM OF FLORIDA","USA","19293","249524","12.93","261"
"5","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)","USA","16200","225865","13.94","197"
"6","UNIVERSITY OF OXFORD","ENGLAND","13359","222128","16.63","279"
"7","UNIVERSITY SYSTEM OF OHIO","USA","18263","219772","12.03","169"
"8","UNIVERSITY OF NORTH CAROLINA","USA","15752","219361","13.93","204"
"9","UNIVERSITY COLLEGE LONDON","ENGLAND","13418","215551","16.06","260"
"10","UNIVERSITY OF TORONTO","CANADA","15110","203107","13.44","169"
"11","US DEPT HLTH HUMAN SERVICES","N/A","10999","200836","18.26","219"
"12","UNIVERSITY OF TEXAS SYSTEM","USA","16167","198804","12.30","170"
"13","JOHNS HOPKINS UNIVERSITY","USA","11619","183786","15.82","186"
"14","UNIVERSITY OF MICHIGAN SYSTEM","USA","11423","178113","15.59","176"
"15","UNIVERSITY OF MICHIGAN","USA","11340","177280","15.63","175"
"16","UNIVERSITY OF WASHINGTON","USA","10039","166778","16.61","167"
"17","UNIVERSITY OF WASHINGTON SEATTLE","USA","9563","160921","16.83","164"
"18","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL","USA","9541","153141","16.05","160"
"19","UNIVERSITY OF CAMBRIDGE","ENGLAND","9011","150438","16.69","176"
"20","COLUMBIA UNIVERSITY","USA","9646","148604","15.41","166"
"21","HARVARD UNIVERSITY MEDICAL AFFILIATES","USA","8508","145309","17.08","148"
"22","UNIVERSITY SYSTEM OF GEORGIA","USA","11140","144993","13.02","142"
"23","STANFORD UNIVERSITY","USA","7818","144058","18.43","214"
"24","UNIVERSITY OF MELBOURNE","AUSTRALIA","10683","139440","13.05","113"
