Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): SPACE SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"1","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)","FRANCE","21759","725021","33.32","589"
"2","MAX PLANCK SOCIETY","GERMANY (FED REP GER)","17579","694557","39.51","548"
"3","UNIVERSITY OF CALIFORNIA SYSTEM","USA","16396","650120","39.65","570"
"4","NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA)","USA","16334","534675","32.73","415"
"5","ISTITUTO NAZIONALE ASTROFISICA (INAF)","ITALY","15568","513370","32.98","404"
"6","CALIFORNIA INSTITUTE OF TECHNOLOGY","USA","10950","450429","41.14","368"
"7","SMITHSONIAN INSTITUTION","USA","9723","402745","41.42","390"
"8","HARVARD UNIVERSITY","USA","8516","388343","45.60","326"
"9","SORBONNE UNIVERSITE","FRANCE","9984","372255","37.29","355"
"10","CNRS - NATIONAL INSTITUTE FOR EARTH SCIENCES & ASTRONOMY (INSU)","FRANCE","7574","329279","43.47","251"
"11","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","SPAIN","8803","319079","36.25","321"
"12","UNIVERSITY OF CALIFORNIA BERKELEY","USA","6709","318152","47.42","287"
"13","UNIVERSITE PARIS CITE","FRANCE","7864","315867","40.17","290"
"14","SMITHSONIAN ASTROPHYSICAL OBSERVATORY","USA","5697","309133","54.26","189"
"15","CHINESE ACADEMY OF SCIENCES","CHINA MAINLAND","15968","302743","18.96","208"
"16","ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY","N/A","7455","301190","40.40","312"
"17","UNIVERSITY OF CAMBRIDGE","ENGLAND","6126","298561","48.74","306"
"18","UNIVERSITE PSL","FRANCE","7560","290069","38.37","245"
"19","OBSERVATOIRE DE PARIS","FRANCE","7199","282685","39.27","238"
"20","NASA GODDARD SPACE FLIGHT CENTER","USA","8661","278296","32.13","246"
"21","UNITED STATES DEPARTMENT OF ENERGY (DOE)","USA","5687","274025","48.18","239"
